# Northern European 2000 Year Summer Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:16975
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/europe/northerneurope2014temperature.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
# --------------------
# Contribution_date
#	Date: 2014
# --------------------
# Title 
#	Study_Name: Northern European 2000 Year Summer Temperature Reconstruction

# --------------------
# Investigators
#	Investigators:  Esper, J.; Düthorn, E.; Krusic, P.J.; Timonen, M.; Büntgen, U.
# --------------------
# Description_and_Notes
# 	Description: Summer temperature reconstruction based on integrated tree-ring maximum density (MXD) data sets of Nscan (Esper et al. 2012) and Torneträsk (Schweingruber et al. 1988)
#	
# --------------------
# Publication
#	Authors: Jan Esper, Elisabeth Düthorn, Paul J. Krusic, Mauri Timonen, and Ulf Büntgen
#	Published_Date_or_Year: 2014-07-15
#	Published_Title: Northern European summer temperature variations over the Common Era from integrated tree-ring density records
#	Journal_Name: Journal of Quaternary Science
#	Volume: 29		
#	Edition: 
#	Issue: 5
#	Pages: 487-494
#	DOI: 10.1002/jqs.2726
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: Tree-ring chronologies of maximum latewood density are most suitable to reconstruct annually resolved summer temperature variations of the late Holocene. The two longest such chronologies have been developed in northern Europe stretching back to the 2nd century BC, and the 5th century AD. We show where similarities between the two chronologies exist, and combine portions of both into a new summer temperature reconstruction for the Common Era. To minimize the transfer of potential biases, we assess the contribution of the candidate reconstructions' measurements, and exclude data (i) from exceptionally young and old trees, and (ii) produced by different laboratory technologies. Our new composite reconstruction reveals warmer conditions during Roman, Medieval and recent times, separated by prolonged cooling during the Migration period and Little Ice Age. Twentieth century warmth, as indicated in one of the existing density records, is reduced in the new reconstruction, also affecting the overall, millennial-scale, cooling trend over the late Holocene (-0.30C per 1000 years). Due to the reduced biological memory, typical for tree-ring density measurements, the new reconstruction is most suitable for evaluating the rate and speed of abrupt summer cooling following large volcanic eruptions.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: Mainz Geocycles Excellence Cluster
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Northern Europe
#	Location: Europe
#	Country: 
#	Northernmost_Latitude: 70.00
#	Southernmost_Latitude: 50.00
#	Easternmost_Longitude: 30.00
#	Westernmost_Longitude: 5.00
#	Elevation: m
# --------------------
# Data_Collection
#	Collection_Name: 14Neur
#	Earliest_Year: -17
#	Most_Recent_Year: 2006
#	Time_Unit: y_ad
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years AD,,,,,N 
##tempanom-JJA  surface temperature anomaly, MXD,,degrees C, Jun-Aug, , , reconstruction,N
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	tempanom-JJA
768	1.271887518
769	0.261969544
770	-0.1101055
771	1.896442054
772	-0.336008204
773	1.139003574
774	1.577520589
775	1.989460815
776	-0.601776092
777	1.577520589
778	1.88315366
779	2.069191181
780	1.962884026
781	-1.040293107
782	0.075932022
783	-0.933985952
784	-0.53533412
785	0.381565093
786	0.062643628
787	0.248681149
788	0.142373994
789	-0.761236825
790	2.016037604
791	0.168950783
792	1.803423293
793	1.178868757
794	0.22210436
795	-0.375873387
796	-0.296143021
797	-0.375873387
798	0.580891009
799	0.235392755
800	-2.329267364
801	-0.575199303
802	-0.694794853
803	-0.86754398
804	-0.53533412
805	-0.601776092
806	-0.389161782
807	-0.096817105
808	-0.402450176
809	-1.252907418
810	-0.176547472
811	0.926389263
812	-0.163259077
813	0.474583854
814	-1.093446685
815	-0.176547472
816	0.992831235
817	-0.641641275
818	-0.907409163
819	-0.096817105
820	1.152291968
821	0.687198164
822	0.102508811
823	0.647332981
824	-0.003798344
825	1.032696418
826	1.856576871
827	1.750269716
828	0.806793714
829	0.992831235
830	1.178868757
831	0.501160643
832	1.139003574
833	1.776846505
834	-0.1101055
835	0.952966052
836	0.195527572
837	2.42797783
838	1.032696418
839	1.511078617
840	0.195527572
841	0.368276699
842	0.647332981
843	0.501160643
844	-0.468892148
845	1.909730449
846	0.501160643
847	0.1290856
848	-0.030375133
849	0.713774953
850	1.271887518
851	-0.32271981
852	-0.389161782
853	-0.761236825
854	0.275257938
855	1.43134825
856	0.089220416
857	0.421430276
858	-0.53533412
859	0.102508811
860	0.766928531
861	-0.588487698
862	-0.136682288
863	0.1290856
864	1.019408024
865	-1.372502967
866	0.049355233
867	0.434718671
868	1.019408024
869	1.471213433
870	0.487872248
871	1.670539349
872	0.448007065
873	1.298464306
874	0.541025826
875	1.045984813
876	1.43134825
877	1.112426785
878	1.43134825
879	0.315123121
880	1.564232194
881	-1.120023474
882	0.67390977
883	1.112426785
884	0.421430276
885	1.962884026
886	1.391483067
887	1.949595632
888	0.115797205
889	0.647332981
890	1.245310729
891	2.919648423
892	0.607467798
893	1.09913839
894	1.577520589
895	1.258599123
896	0.780216925
897	1.511078617
898	0.394853487
899	1.816711688
900	-0.774525219
901	-0.149970683
902	-1.213042234
903	-0.601776092
904	0.434718671
905	0.248681149
906	0.55431422
907	-0.641641275
908	0.288546332
909	0.301834727
910	0.115797205
911	-0.362584993
912	2.029325998
913	0.022778444
914	-0.508757331
915	1.418059856
916	0.780216925
917	-0.136682288
918	0.487872248
919	1.5509438
920	1.165580362
921	-0.176547472
922	1.88315366
923	0.899812474
924	1.630674166
925	1.21873394
926	1.617385772
927	0.660621375
928	2.188786731
929	1.710404533
930	2.30838228
931	1.856576871
932	2.281805492
933	2.188786731
934	2.600726957
935	1.869865265
936	1.298464306
937	1.045984813
938	0.394853487
939	1.511078617
940	-1.252907418
941	0.487872248
942	1.059273207
943	0.766928531
944	1.5509438
945	2.069191181
946	1.630674166
947	1.776846505
948	0.381565093
949	0.607467798
950	0.55431422
951	2.069191181
952	0.155662388
953	0.899812474
954	-0.083528711
955	0.567602615
956	-0.136682288
957	0.939677658
958	-1.000427924
959	0.607467798
960	0.780216925
961	-1.638270855
962	0.660621375
963	0.979542841
964	1.378194673
965	-0.482180543
966	-0.468892148
967	0.394853487
968	-0.389161782
969	0.952966052
970	0.195527572
971	1.152291968
972	2.148921548
973	1.045984813
974	-0.242989444
975	0.88652408
976	-0.681506459
977	0.740351742
978	1.285175912
979	-1.279484206
980	0.248681149
981	-0.070240316
982	2.281805492
983	1.059273207
984	0.434718671
985	-0.402450176
986	1.577520589
987	0.873235686
988	0.34169991
989	-1.120023474
990	1.643962561
991	0.182239177
992	0.368276699
993	0.036066839
994	1.059273207
995	1.351617884
996	0.501160643
997	1.590808983
998	0.461295459
999	0.580891009
1000	1.710404533
1001	1.697116138
1002	1.736981321
1003	0.753640136
1004	0.806793714
1005	0.354988304
1006	1.471213433
1007	1.125715179
1008	-0.522045726
1009	0.541025826
1010	0.687198164
1011	1.232022334
1012	0.687198164
1013	-0.136682288
1014	0.381565093
1015	-0.1101055
1016	1.192157151
1017	-0.043663528
1018	1.564232194
1019	2.587438563
1020	1.962884026
1021	1.444636645
1022	0.687198164
1023	-0.309431415
1024	0.833370503
1025	2.401401041
1026	0.527737431
1027	0.67390977
1028	0.766928531
1029	0.913100869
1030	1.657250955
1031	0.168950783
1032	0.00949005
1033	1.803423293
1034	1.33832949
1035	0.634044587
1036	1.059273207
1037	1.843288477
1038	0.448007065
1039	0.727063347
1040	1.09913839
1041	-0.588487698
1042	-0.708083247
1043	-0.136682288
