# Ningaloo Reef Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1867
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/ningaloo.txt
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/readme_ningaloo.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-11-01
#--------------------
# Title
#	Study_Name: Ningaloo Reef Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#--------------------
# Description_and_Notes
#	Description: The data set contains d18O and d13C in bimonthly temporal resolution for the time period 1878-1994. The material consists of a vertical core from a colony of Porites lutea. Samples for isotopic analyses were taken using a low-speed dental drill. Untreated samples were measured on a Finnigan MAT 251 mass spectrometer.  The age model in the data set is based on the density banding of the skeleton and the seasonality in d18O.
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#       Published_Date_or_Year: 2000  
#       Published_Title: Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia.
#       Journal_Name: International Journal of Earth Science
#       Volume: 88
#       Edition: 
#       Issue: 
#       Pages: 88
#       DOI: 10.1007/s005310050300
#       Online_Resource: 
#       Full_Citation: Kuhnert, Henning; Pätzold, Jürgen; Wyrwoll, K-H; Wefer, Gerold (2000): Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia. International Journal of Earth Sciences, 88(4), 725-732, doi:10.1007/s005310050300
#       Abstract: 116-year record of coral skeletal delta18O is presented from a colony of Porites lutea from Ningaloo Reef, western Australia. Interannual variability of sea-surface temperatures (SST) inferred from skeletal delta18O is dominated by a 9.5-year period, and may constitute a characteristic signal of the Leeuwin Current. On long-terms coral skeletal delta18O indicates a near-continuous increase of SST at Ningaloo Reef over one century. The skeletal delta18O time series was checked for the presence of seasonal cooling events resulting from major volcanic eruptions. An ~1 °C cooling is evident following the eruption of Pinatubo in 1991, which reproduces the results of previous investigations. However, only weak or no signals can be related to the eruptions of Krakatau (1883) and Agung (1963).
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#       Grant: Ma 821/11-1
#------------------
# Site_Information 
#       Site_Name: Ningaloo Reef
#       Location: Australia/New Zealand>Australia
#	Country: Australia  
#	Northernmost_Latitude: -21.905 
# 	Southernmost_Latitude: -21.905 
# 	Easternmost_Longitude: 113.965
# 	Westernmost_Longitude: 113.965
# 	Elevation: -3.0 m  
#------------------
# Data_Collection   
#	Collection_Name: 00aust01a
#	Earliest_Year: 1878 
#	Most_Recent_Year: 1994 
#	Time_Unit: y_ad
#	Core_Length: 1.44 m
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"} Internal precisions (1 SD) are 0.02 per mil for delta O-18,and 0.015 per mil for delta C-13. External precisions (1 SD) of an internal laboratory standard (Solnhofen limestone) are 0.07 per mil for delta O-18, and 0.05 per mil for delta C-13. Average sampling density is 6.7 samples per year. The bimonthly data were interpolated with an Excel-macro. Based on couplets of annual density bands and seasonality in d18O. Within each year the highest (least depleted) d18O value was tied to mid-September, which is the coldest month on average.
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
##d13C	delta 13 Carbon, Porites lutea, , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
##depth	depth, Porites lutea, ,cm, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	d13C	depth
1908.87	-4.27	-0.17	106.6
1909.04	-4.58	-0.16	106.4
1909.21	-4.87	-1.13	106.2
1909.37	-4.57	-1.11	106
1909.54	-4.37	-1.55	105.8
1909.71	-4.03	-1.02	105.6
1909.85	-4.22	-0.49	105.4
1909.99	-4.25	-0.34	105.2
1910.14	-4.71	-0.31	105
1910.28	-4.92	-0.43	104.8
1910.42	-4.6	-1.35	104.6
1910.57	-4.11	-0.99	104.4
1910.71	-4.01	-0.82	104.2
1910.85	-4.38	-0.71	104
1910.99	-4.43	-0.51	103.8
1911.14	-4.68	-0.65	103.6
1911.28	-4.82	-1.02	103.4
1911.42	-4.46	-1.66	103.2
1911.57	-4.13	-0.94	103
1911.71	-4.06	-0.28	102.8
1911.87	-4.21	-0.45	102.6
1912.04	-4.73	-0.68	102.4
1912.21	-4.79	-1.15	102.2
1912.37	-4.73	-1.5	102
1912.54	-4.21	-1.23	101.8
1912.71	-4.05	-0.6	101.6
1912.85	-4.16	-0.69	101.4
1912.99	-4.39	-0.59	101.2
1913.14	-4.71	-0.92	101
1913.28	-4.66	-0.97	100.8
1913.42	-4.5	-1.4	100.6
1913.57	-3.97	-1.14	100.4
1913.71	-3.96	-0.61	100.2
1913.91	-4.03	-0.06	100
1914.11	-4.25	-0.24	99.8
1914.31	-4.47	-0.84	99.6
1914.51	-4.45	-1.05	99.4
1914.71	-3.92	-0.76	99.2
1914.85	-4.18	-0.26	99
1914.99	-3.99	0.11	98.8
1915.14	-4.56	0.04	98.6
1915.28	-4.73	-0.78	98.4
1915.42	-4.49	-1.68	98.2
1915.57	-4.31	-0.89	98
1915.71	-4	-0.61	97.8
1915.84	-4.22	-0.93	97.6
1915.97	-4.55	-0.53	97.4
1916.17	-4.89	-0.8	97.1
1916.31	-4.61	-1.51	96.9
1916.44	-4.17	-1.02	96.7
1916.57	-4.29	-0.82	96.5
1916.71	-4.16	-0.62	96.3
1916.91	-4.68	-0.53	96.1
1917.11	-4.76	-0.95	95.9
1917.31	-4.77	-1.06	95.7
1917.51	-4.49	-1.28	95.5
1917.71	-4.11	-0.54	95.3
1917.83	-4.31	-0.7	95.1
1917.96	-4.45	-0.48	94.9
1918.08	-5.13	-0.91	94.7
1918.21	-4.9	-0.44	94.5
1918.33	-4.69	-1.05	94.3
1918.46	-4.52	-0.74	94.1
1918.58	-4.28	-0.75	93.9
1918.71	-4.17	-0.78	93.7
1918.91	-4.32	-0.53	93.5
1919.11	-4.73	-0.84	93.3
1919.31	-4.86	-1.01	93.1
1919.51	-4.62	-1.13	92.9
1919.71	-4.16	-0.72	92.7
1919.87	-4.22	-0.3	92.5
1920.04	-4.26	-0.59	92.3
1920.21	-4.45	0.01	92.1
1920.37	-4.79	-0.59	91.9
1920.54	-4.2	-0.99	91.7
1920.71	-4.17	-0.38	91.5
1920.85	-4.46	-0.47	91.3
1920.99	-4.74	-0.93	91.1
1921.14	-4.94	-0.44	90.9
1921.28	-4.98	-0.82	90.7
1921.42	-4.8	-1.36	90.5
1921.57	-4.37	-0.49	90.3
1921.71	-4.06	-0.28	90.1
1921.91	-4.23	-0.22	89.9
1922.31	-4.55	-0.46	89.5
1922.51	-4.14	-0.88	89.3
1922.71	-3.94	0.05	89.1
1922.85	-4.08	-0.4	88.9
1922.99	-4.79	-0.51	88.7
1923.14	-4.75	-0.8	88.5
1923.28	-4.76	-1.07	88.3
1923.42	-4.49	-1.24	88.1
1923.57	-4.23	-0.88	87.9
1923.71	-3.81	-0.52	87.7
1923.87	-4.25	-0.72	87.5
1924.04	-4.56	-0.78	87.3
1924.21	-4.72	-0.8	87.1
1924.37	-4.73	-1.11	86.9
1924.54	-4.4	-1.38	86.7
1924.71	-4.16	-0.99	86.5
1924.87	-4.17	-0.89	86.3
1925.04	-4.63	-0.92	86.1
1925.21	-4.81	-0.89	85.9
1925.37	-4.87	-1.22	85.7
1925.54	-4.51	-1.24	85.5
1925.71	-4.16	-0.64	85.3
1925.87	-4.27	-0.26	85.1
1926.04	-4.86	-0.64	84.9
1926.21	-5.05	-0.83	84.7
1926.37	-4.7	-1.52	84.5
1926.54	-4.42	-1.35	84.3
1926.71	-4.29	-0.66	84.1
1926.87	-4.49	-0.31	83.9
1927.04	-4.58	-0.36	83.7
1927.21	-4.77	-0.76	83.5
1927.37	-4.79	-1.49	83.3
1927.54	-4.31	-1.43	83.1
1927.71	-4.22	-0.88	82.9
1927.87	-4.36	-0.78	82.7
1928.04	-4.39	-0.41	82.5
1928.21	-4.91	-0.66	82.3
1928.37	-4.94	-1.82	82.1
1928.54	-4.41	-1.41	81.9
1928.71	-4.03	-0.77	81.7
