# Isla Tortuga, Cariaco Basin Coral Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1888
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/tortuga2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-11
#--------------------
# Title
#	Study_Name: Isla Tortuga, Cariaco Basin Coral Trace Element Data
#--------------------
# Investigators
#       Investigators: Reuer, M.K.; Boyle, E.A.; Cole, J.E.  
#--------------------
# Description_and_Notes
#	Description: Trace element data from a M. annularis coral from Isla Tortuga, Venezuela. Isla Tortuga is located at the northern margin of the Cariaco Basin. Coral cores were collected from two sites along the southern coast of  Isla Tortuga, Venezuela, (10 53'N, 65 21'W) in 1996 and 1998.  Water depths ranged from approximately 2 to 3 m.
#--------------------
# Publication 
#       Authors: Reuer, M.K.; Boyle, E.A.; Cole, J.E.
#       Published_Date_or_Year: 2003     
#       Published_Title: A mid-twentieth century reduction in tropical upwelling inferred from coralline trace element proxies.
#       Journal_Name: Earth and Planetary Science Letters
#       Volume: 210
#       Edition: 
#       Issue: 
#       Pages: 437-452
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Reuer, M.K., E.A. Boyle, and J.E. Cole. 2003. A mid-twentieth century reduction in tropical upwelling inferred from coralline trace element proxies.   Earth and Planetary Science Letters. 210  pp. 437-452.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation (USA)
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Isla Tortuga, Cariaco Basin, Caribbean Sea
#       Location: South America>Venezuela
#	Country: Venezuela 
#	Northernmost_Latitude: 10.88 
# 	Southernmost_Latitude: 10.88 
# 	Easternmost_Longitude: -65.35 
# 	Westernmost_Longitude: -65.35 
# 	Elevation: -2 m  
#------------------
# Data_Collection   
#	Collection_Name: 03vene01a 
#	Earliest_Year:  1918 
#	Most_Recent_Year: 1995 
#	Time_Unit: Years AD 
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: M. annularis 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##Cd/Ca	Cadmium/Calcium, M. annularis , ,nmol/mol, ,Corals and Sclerosponges, , ,N
##Cd/Ca_err	Cadmium/Calcium, M. annularis, 2sigma error,nmol/mol, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age_AD	Cd/Ca	Cd/Ca_err
1942.5	4.25	0.54
1942.3	5.01	0.28
1942.1	3.17	0.02
1941.9	2.92	0.58
1941.8	2.98	0.18
1941.6	3.22	0.14
1941.4	3.54	0.22
1941.3	3.7	0.4
1941.1	3.82	0.16
1940.9	3.48	0.02
1940.8	2.88	0.6
1940.6	3.01	0.36
1940.4	3.08	0.16
1940.3	2.99	0.06
1940.1	2.74	0.12
1939.8	3.69	0.03
1939.6	4.03	0.02
1939.4	3.98	0.1
1939.3	4.34	0.06
1939.1	4.36	0.26
1938.9	4.01	0.36
1938.7	4.15	0.2
1938.5	3.1	0.1
1938.3	2.83	0.16
1938.1	2.95	0.18
1937.9	3	0.36
1937.8	3.69	0.56
1937.6	3.23	0.28
1937.4	3.18	0.14
1937.3	2.08	0.16
1937.1	2.49	0.14
1936.9	2.84	0.46
1936.8	2.88	0.44
1936.6	3.48	0.32
1936.4	2.73	0.24
1936.3	3	0.28
1936.1	3.35	0.3
1935.1	5.07	0.16
1934.8	4.61	0.16
1934.6	4.68	0.42
1934.4	4.07	0.32
1934.1	4.36	0.32
1933.8	3.63	0.26
1933.4	3.83	0.02
1933.3	4.13	0.42
1933.1	4.7	0.38
1932.4	3.82	0.32
1932.1	3.23	0.08
1931.9	4.26	0.02
1931.6	3.15	0.56
1931.4	2.45	0.5
1931.3	1.97	0.02
1931.1	2.66	0.48
1930.9	2.18	0.1
1930.8	2.8	0.58
1930.6	3.03	0.42
1930.4	4.08	0.32
1930.3	4.16	0.42
1930.1	3.43	0.36
1929.9	3.63	0.34
1929.4	3.04	0.5
1929.1	3.2	0.5
1928.8	3.62	0.06
1928.4	4.04	0.08
1928.3	3.84	0.22
1928.1	3.79	0.16
1927.9	4.99	0.48
1927.8	3.91	0.12
1927.4	4.13	0.44
1927.3	3.21	0.44
1927.1	3.43	0.28
1926.7	3.66	0.32
1926.5	3.75	0.08
1926.3	3.69	0.32
1926.1	3.81	0.28
1925.6	2.89	0.1
1925.4	2.52	0.24
1925.1	2.63	0.18
1924.8	3.99	0.2
1924.5	3.79	0.26
1924.2	3.01	0.04
1923.9	2.1	0.16
1923.7	1.74	0.1
1923.5	2.05	0.08
1923.3	3.94	0.54
1923.1	4.21	0.02
1922.9	3.89	0.48
1922.8	4.07	0.56
1922.4	3.34	0.16
1922.1	4.12	0.46
1921.7	3.51	0.04
1921.1	4.55	0.08
1920.9	3.61	0.08
1920.6	3.63	0.5
1920.3	3.03	0.26
1920.1	4.32	0.54
1919.4	3.81	0.08
1919.1	3.92	0.52
1918.9	3.58	0.28
1918.8	2.39	0.14
1918.6	4.22	0.4
1918.4	2.92	0.46
1918.3	3.28	0.2
1918.1	3.53	0.2
