# Baffin Island 1250 Year Summer Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:6234
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/baffin/donard_2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
# --------------------
# Contribution_date
#	Date: 2003
# --------------------
# Title 
#	Study_Name: Baffin Island 1250 Year Summer Temperature Reconstruction
# --------------------
# Investigators
#	Investigators:  Moore, J.J.; Hughen, K.A.; Miller, G.H.; Overpeck, J.T.
# --------------------
# Description_and_Notes
# 	Description:  Summer temperature reconstruction based on laminae thickness in sediments
from Donard Lake, Baffin Island, Canada.  
66°40'N 61°21'W
# --------------------
# Publication
#	Authors: J.J Moore, K.A. Hughen, G.H. Miller, J.T. Overpeck
#	Published_Date_or_Year: 2003
#	Published_Title:  Little Ice Age Recorded in Summer Temperatures from Varved Sediments of Donard Lake, Baffin Island, Canada
#	Journal_Name:  Journal of Paleolimnology
#	Volume:  25
#	Edition:  
#	Issue:  
#	Pages:  503-517
#	DOI: 
#	Online_Resource:  
#	Full_Citation:  
#	Abstract:  Clastic varved sediments from Donard Lake, in the Cape Dyer region of 
Baffin Island, provide a 1250 yr record of decadal-to-centennial scale 
climate variability. Donard Lake experiences strong seasonal fluctuations 
in runoff and sediment fluxes due to the summer melting of the Caribou 
Glacier, which presently dominates its catchment. The seasonal variation 
in sediment supply results in the annual deposition of laminae couplets. 
A radiocarbon date measured on moss fragments, with a calibrated age of 
860 ± 80 yrs before present (BP), is in close agreement with the age 
based on paired-layer counts. Together with the fabric of the laminae 
determined from microscope analysis, the age agreement demonstrates that 
the laminae couplets are annually deposited varves. Comparisons of varve 
thickness and average summer temperature from nearby Cape Dyer show a 
significant positive correlation (r= 0.57 for annual records, r = 0.82 
for 3-yr averages), indicating that varve thickness reflects changes 
in average summer temperature. Varve thickness was used to reconstruct 
average summer temperatures for the past 1250 yrs, and shows abrupt 
shifts and large amplitude decadal-to-centennial scale variability 
throughout the record. The most prominent feature of the record is 
a period of elevated summer temperatures from 1200-1375 AD, followed 
by cooler conditions from 1375-1820 AD, coincident with the 
Little Ice Age. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name:  
#	Grant:  
# --------------------
# Site_Information
#	Site_Name: Donard Lake, Baffin Island
#	Location: North America>Canada
#	Country:  Canada
#	Northernmost_Latitude: 66.66667
#	Southernmost_Latitude: 66.66667
#	Easternmost_Longitude:61.35
#	Westernmost_Longitude: 61.35
#	Elevation: m
# --------------------
# Data_Collection
#	Collection_Name: 03Baff01
#	Earliest_Year: 752
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years AD,,,,,N 
##avg_temp	surface temperature anomaly (degrees C), Annual, , , degrees C ,summer , , , N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	avg_temp
1178	2.104156
1177	2.200552
1176	2.634334
1175	2.321047
1174	1.983661
1173	3.019918
1172	3.4537
1171	2.345146
1170	2.48974
1169	1.983661
1168	1.983661
1167	2.48974
1166	2.610235
1165	3.309106
1164	3.260908
1163	3.019918
1162	2.104156
1161	2.48974
1160	2.080057
1159	2.393344
1158	2.778928
1157	1.814968
1156	2.152354
1155	3.718789
1154	1.863166
1153	1.76677
1152	2.827126
1151	2.200552
1150	2.465641
1149	2.899423
1148	4.104373
1147	2.899423
1146	3.525997
1145	2.200552
1144	3.477799
1143	3.983878
1142	3.574195
1141	3.21271
1140	3.381403
1139	3.116314
1138	3.044017
1137	4.393561
1136	2.417443
1135	2.296948
1134	2.00776
1133	1.983661
1132	2.345146
1131	4.248967
1130	2.104156
1129	4.200769
1128	2.995819
1127	5.574412
1126	4.41766
1125	2.441542
1124	2.00776
1123	2.272849
1122	2.393344
1121	2.00776
1120	2.055958
1119	1.911364
1118	2.658433
1117	2.995819
1116	2.055958
1115	2.104156
1114	2.995819
1113	3.574195
1112	2.706631
1111	2.055958
1110	2.465641
1109	3.260908
1108	2.899423
1107	3.477799
1106	2.97172
1105	2.803027
1104	2.562037
1103	3.357304
1102	2.296948
1101	2.345146
1100	2.754829
1099	3.044017
1098	5.357521
1097	3.766987
1096	3.525997
1095	6.200986
1094	5.357521
1093	3.839284
1092	3.598294
1091	3.164512
1090	3.791086
1089	2.417443
1088	2.610235
1087	3.116314
1086	2.803027
1085	2.48974
1084	2.417443
1083	2.995819
1082	3.116314
1081	2.851225
1080	4.610452
1079	3.333205
1078	3.742888
1077	2.417443
1076	2.345146
1075	2.634334
1074	3.887482
1073	3.381403
1072	2.562037
1071	3.477799
1070	3.164512
1069	1.983661
1068	3.21271
1067	4.17667
1066	3.405502
1065	2.224651
1064	2.393344
1063	2.827126
1062	3.164512
1061	3.21271
1060	3.21271
1059	2.513839
1058	2.369245
1057	3.140413
1056	4.224868
1055	3.550096
1054	2.441542
1053	3.911581
1052	4.321264
1051	4.755046
1050	3.911581
1049	4.321264
1048	2.24875
1047	3.574195
1046	2.634334
1045	2.97172
1044	2.128255
1043	2.465641
1042	2.73073
1041	3.742888
1040	3.429601
1039	3.766987
1038	2.321047
1037	2.610235
1036	2.055958
1035	2.321047
1034	4.104373
1033	2.00776
1032	2.658433
1031	1.839067
1030	3.188611
1029	2.369245
1028	2.658433
1027	3.69469
1026	2.055958
1025	2.00776
1024	2.176453
1023	5.188828
1022	3.791086
1021	2.562037
1020	2.055958
1019	2.224651
1018	2.104156
1017	2.610235
1016	1.887265
1015	1.839067
1014	3.21271
1013	2.562037
1012	2.610235
1011	2.778928
1010	3.477799
1009	2.393344
1008	2.441542
1007	2.706631
1006	3.092215
1005	3.815185
1004	2.562037
1003	2.393344
1002	2.706631
1001	2.176453
1000	4.056175
999	2.296948
998	2.923522
997	2.200552
996	2.296948
995	3.357304
994	5.815402
993	4.321264
992	4.465858
991	3.863383
990	4.875541
989	4.224868
988	3.718789
987	2.923522
986	2.562037
985	2.995819
984	4.875541
983	3.068116
982	2.272849
981	2.321047
980	2.321047
979	3.69469
978	3.188611
977	4.706848
976	2.875324
975	2.803027
974	3.550096
973	3.092215
972	1.911364
971	2.537938
970	4.273066
969	1.863166
968	1.935463
967	2.97172
966	3.188611
965	2.296948
964	2.345146
963	2.104156
962	3.574195
961	2.803027
960	3.164512
959	2.923522
958	3.93568
957	3.983878
956	2.562037
955	3.574195
954	2.97172
953	4.441759
952	3.983878
