# Northeast Breakers Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: 
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2015-11-11
#--------------------
# Title
#	Study_Name: Northeast Breakers Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Cruger, T.; Patzold, J.
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Cruger, T.; Patzold, J.
#       Published_Date_or_Year: 2005
#       Published_Title: NAO signature in a Bermuda coral Sr/Ca record
#       Journal_Name: Geochemistry, Geophysics, Geosystems
#       Volume: 6
#       Edition: 
#       Issue: 4
#       Pages: 
#       DOI: 10.1029/2004GC000786
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2004GC000786/full
#       Full_Citation: 
#       Abstract: We present a 55-year-long record (1928–1982) of Sr/Ca in a Bermuda coral (Diploria strigosa), which we use to reconstruct local twentieth century climate features. The clearest climate signal emerges for the late-year Sr/Ca. Although the coral was collected in shallow water (12 m), the correlation with station data is highest for temperatures at 50 m depth (r = −0.70), suggesting that local temperatures at the collection site are not representative for the sea surface temperatures in the adjacent open ocean. The most striking feature of the coral record is the persistent and significant correlation (r = −0.50) with the North Atlantic Oscillation (NAO) index. Field correlations of fall Sr/Ca with the winter sea level pressure (SLP) show the typical spatial NAO pattern. The stable relationship with the NAO shows that Sr/Ca in Bermuda corals is a suitable tool for the reconstruction of North Atlantic climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.33
# 	Southernmost_Latitude: 32.33
# 	Easternmost_Longitude: -64.75
# 	Westernmost_Longitude: -64.75
# 	Elevation: -12 m  
#------------------
# Data_Collection   
#	Collection_Name: 05berm01a
#	Earliest_Year: 1825
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"PAGES2"}{"database":"LMR_FM"}
#------------------
# Species
#	Species_Name: Diploria strigosa 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Diploria strigosa, , permil, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
##d13C	delta 13 Carbon, Diploria strigosa, , permil, , Corals and Sclerosponges, , ,N
##U/Ca	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca	d13C	U/Ca
1945.21	-3.1	9.2	-1.88	1.07
1945.13	-3.14	9.24	-1.73	1.03
1945.04	-3.3	9.19	-1.95	1.03
1944.96	-3.44	9.14	-2.23	1.03
1944.88	-3.46	9.14	-2.25	1.03
1944.79	-3.74	9.08	-2.18	1.01
1944.71	-3.92	9.05	-2.19	0.99
1944.63	-3.99	9.03	-2.19	0.98
1944.54	-3.97	9.04	-2.05	0.98
1944.46	-3.95	9.02	-1.91	0.98
1944.38	-3.82	9.07	-1.73	1.02
1944.29	-3.6	9.15	-1.55	1.07
1944.21	-3.31	9.2	-1.41	1.09
1944.13	-3.43	9.21	-1.75	1.11
1944.04	-3.67	9.18	-1.85	1.06
1943.96	-3.98	9.16	-2.05	1.05
1943.88	-3.98	9.16	-2.05	1.02
1943.79	-4.07	9.19	-1.99	1.07
1943.71	-4.09	9.2	-1.85	1.09
1943.63	-4	9.14	-1.8	1.02
1943.54	-4	9.1	-1.77	1.05
1943.46	-3.81	9.2	-1.56	1.09
1943.38	-3.78	9.22	-1.86	1.09
1943.29	-3.76	9.24	-2.1	1.1
1943.21	-3.68	9.29	-2.17	1.11
1943.13	-3.87	9.29	-2.27	1.08
1943.04	-4	9.25	-2.12	1.06
1942.96	-4.07	9.19	-1.93	1.05
1942.88	-4.05	9.11	-1.88	1.03
1942.79	-4.18	9.15	-2.04	1.01
1942.71	-4.35	9.21	-2.21	1.08
1942.63	-4.47	9.21	-2.33	1.11
1942.54	-4.46	9.06	-2.3	1
1942.46	-4.16	9.3	-2.07	1.16
1942.38	-3.86	9.25	-1.84	1.15
1942.29	-3.46	9.17	-1.41	1.08
1942.21	-2.86	9.3	-0.58	1.09
1942.13	-3.65	9.27	-2.26	1.04
1942.04	-3.6	9.32	-2.19	1.16
1941.96	-3.56	9.26	-2.29	1.11
1941.88	-3.63	9.2	-2.28	1.07
1941.79	-3.64	9.23	-2.32	1.03
1941.71	-3.66	9.19	-2.1	1.04
1941.63	-3.9	9.13	-2.1	1.02
1941.54	-3.83	9.11	-1.95	1.04
1941.46	-4.05	9.07	-2.17	1.01
1941.38	-3.99	9.06	-2.07	0.99
1941.29	-3.48	9.1	-1.45	1.02
1941.21	-3.22	9.34	-1.85	1.15
1941.13	-3.42	9.25	-1.88	1.18
1941.04	-3.59	9.22	-2.23	1.11
1940.96	-3.85	9.28	-2.39	1.16
1940.88	-4.04	9.23	-2.4	1.15
1940.79	-4.08	9.16	-2.43	1.05
1940.71	-4.09	9.14	-2.36	1.02
1940.63	-4.18	9.21	-2.34	1.17
1940.54	-4.15	9.14	-2.25	1.06
1940.46	-3.78	9.14	-2.04	1.04
1940.38	-3.52	9.21	-1.78	1.1
1940.29	-3.41	9.24	-1.89	1.14
1940.21	-3.39	9.2	-2.18	1.09
1940.13	-3.4	9.26	-2.18	1.11
1940.04	-3.46	9.22	-2.15	1.08
1939.96	-3.56	9.19	-2.1	1.07
1939.88	-3.69	9.17	-2.08	1.06
1939.79	-3.79	9.14	-2.03	1.05
1939.71	-3.65	9.12	-1.64	1.04
1939.63	-3.74	9.13	-1.75	1.01
1939.54	-3.97	9.08	-2.27	0.97
1939.46	-4.01	9.07	-2.36	0.98
1939.38	-3.86	9.1	-2.09	1.01
1939.29	-3.64	9.13	-1.87	1.05
1939.21	-3.37	9.14	-1.73	1.07
1939.13	-3.52	9.23	-1.98	1.11
1939.04	-3.67	9.24	-2.29	1.1
1938.96	-3.76	9.2	-2.45	1.07
1938.88	-3.39	9.19	-2.18	1.05
1938.79	-3.88	9.14	-2.67	1.04
1938.71	-3.94	9.11	-2.46	1.03
1938.63	-4.08	9.09	-2.45	1.03
1938.54	-4.16	9.05	-2.4	0.98
1938.46	-3.97	9.09	-2.42	1.02
1938.38	-3.67	9.14	-2.2	1.05
1938.29	-3.43	9.19	-2.36	1.06
1938.21	-3.22	9.23	-2.43	1.04
1938.13	-3.3	9.29	-2.64	1.08
1938.04	-3.27	9.2	-2.39	1.05
1937.96	-3.44	9.21	-2.6	1.06
1937.88	-3.55	9.11	-2.19	1.05
1937.79	-3.71	9.17	-2.11	1.09
1937.71	-3.86	9.18	-2	1.07
1937.63	-3.79	9.15	-2.01	1.05
1937.54	-3.78	9.15	-2	1.03
1937.46	-3.8	9.24	-1.99	1.13
1937.38	-3.82	9.19	-1.97	1.08
1937.29	-3.61	9.25	-1.84	1.13
1937.21	-3.21	9.33	-0.9	1.09
1937.13	-3.81	9.27	-2.28	1.09
1937.04	-3.76	9.24	-2.23	1.08
1936.96	-3.86	9.24	-2.12	1.12
1936.88	-3.97	9.27	-1.99	1.14
1936.79	-4.08	9.2	-1.85	1.1
1936.71	-3.93	9.14	-1.6	1.07
1936.63	-3.71	9.16	-1.37	1.08
1936.54	-3.67	9.16	-1.27	1.1
1936.46	-3.62	9.14	-1.17	1.09
1936.38	-3.58	9.16	-1.07	1.09
1936.29	-3.53	9.16	-1	1.08
1936.21	-3.42	9.24	-1.27	1.15
1936.13	-3.49	9.23	-1.46	1.12
1936.04	-3.57	9.22	-1.66	1.12
1935.96	-3.66	9.17	-2.11	1.05
1935.88	-3.69	9.13	-2.18	1.03
1935.79	-3.72	9.09	-1.99	1.03
1935.71	-3.78	9.12	-1.89	1.06
1935.63	-3.73	9.1	-1.69	1.04
1935.54	-3.5	9.14	-1.61	1.08
1935.46	-3.75	9.13	-1.76	1.05
1935.38	-3.67	9.17	-1.68	1.07
1935.29	-3.55	9.18	-1.78	1.09
1935.21	-3.43	9.19	-2	1.07
1935.13	-3.5	9.11	-1.73	1.03
1935.04	-3.74	9.13	-2.29	1.03
1934.96	-3.81	9.12	-2.19	1.02
1934.88	-3.97	9.07	-2.1	1
1934.79	-3.95	9.11	-1.8	1.03
1934.71	-3.73	9.07	-1.67	1.04
1934.63	-3.83	9.1	-1.32	1.07
1934.54	-3.84	9.1	-1.53	1.04
1934.46	-3.59	9.07	-1.66	1.02
1934.38	-3.51	9.16	-1.25	1.11
1934.29	-3.48	9.2	-1.86	1.09
1934.21	-3.31	9.23	-1.02	1.09
1934.13	-3.43	9.18	-1.76	1.07
1934.04	-3.47	9.19	-1.82	1.05
1933.96	-3.61	9.15	-1.93	1.03
1933.88	-3.78	9.13	-1.92	1.01
1933.79	-3.85	9.13	-1.84	1.04
1933.71	-3.93	9.13	-1.92	1.05
1933.63	-4.19	9.08	-1.87	1
1933.54	-4.24	9.1	-1.88	1.01
1933.46	-3.91	9.14	-1.8	1.02
1933.38	-3.72	9.16	-2.11	1.01
1933.29	-3.06	9.14	-1.15	1.01
1933.21	-2.71	9.12	-0.3	1.02
1933.13	-3.5	9.1	-1.67	1.02
1933.04	-3.55	9.11	-1.77	1.04
1932.96	-3.44	9.22	-1.81	1.08
1932.88	-3.46	9.14	-1.49	1.06
1932.79	-3.46	9.13	-1.11	1.08
1932.71	-3.17	9.13	-0.71	1.08
1932.63	-3.22	9.14	-0.66	1.08
1932.54	-3.23	9.17	-0.85	1.1
1932.46	-3.24	9.23	-0.92	1.14
1932.38	-3.26	9.29	-1.09	1.15
1932.29	-3.53	9.31	-1.77	1.15
1932.21	-2.77	9.23	-0.76	1.11
1932.13	-3.01	9.23	-1.27	1.01
1932.04	-3.25	9.17	-1.79	0.98
1931.96	-3.55	9.11	-2.06	0.96
1931.88	-3.76	9.07	-2.13	0.97
1931.79	-3.77	9.06	-2.18	1
1931.71	-3.78	9.09	-2.22	0.97
1931.63	-3.92	9.13	-2.22	0.95
1931.54	-4.07	9.16	-2.22	0.92
1931.46	-4.03	9.1	-2.11	0.95
1931.38	-3.89	9.05	-1.92	0.99
1931.29	-3.75	9.08	-1.74	1.01
1931.21	-3.46	9.03	-1.66	1.02
1931.13	-3.56	9.12	-1.74	1.05
1931.04	-3.56	9.13	-2.06	1.05
1930.96	-3.53	9.09	-1.9	1.03
1930.88	-3.6	9.06	-1.99	1
1930.79	-3.65	9.02	-2.14	0.99
1930.71	-3.72	8.97	-2.16	0.99
1930.63	-3.8	8.97	-2.12	0.99
1930.54	-3.81	9.02	-2.06	1.01
1930.46	-3.86	9.03	-2	1.02
1930.38	-3.88	9	-2.05	0.99
1930.29	-3.44	9.02	-1.65	0.99
1930.21	-2.79	9.03	-1.12	0.99
1930.13	-3.32	9.05	-1.63	1.01
1930.04	-3.09	9.14	-1.96	1.02
1929.96	-3.4	9.19	-2.53	1.01
1929.88	-3.62	9.16	-2.4	1.01
1929.79	-3.56	9.13	-2.47	0.98
1929.71	-3.69	9.04	-2.33	0.97
1929.63	-3.79	9.06	-1.99	0.99
1929.54	-3.73	9	-1.99	0.95
1929.46	-3.9	9.08	-2.03	1.02
1929.38	-3.72	8.98	-1.9	0.94
1929.29	-3.51	9.05	-1.78	0.98
1929.21	-3.42	9.2	-1.86	1.05
1929.13	-3.51	9.14	-2.05	1.03
1929.04	-3.52	9.12	-2.24	1.01
1928.96	-3.52	9.12	-2.12	0.99
1928.88	-3.55	9.1	-1.94	0.99
1928.79	-3.63	9.08	-1.98	0.98
1928.71	-3.83	9.03	-1.78	0.97
1928.63	-4.02	9	-1.58	0.99
1928.54	-4.17	8.97	-1.83	0.96
1928.46	-4.08	8.98	-1.74	0.98
1928.38	-3.81	9	-1.6	0.99
1928.29	-3.52	8.99	-1.84	0.93
1928.21	-3.22	8.99	-2.08	0.91
1928.13	-3.45	9.1	-1.94	1
1928.04	-3.39	9.18	-1.99	1.03
1927.96	-3.42	9.27	-1.96	1.06
1927.88	-3.45	9.18	-2.35	1.04
1927.79	-3.6	9.2	-2.4	1.01
1927.71	-3.73	9.22	-2.66	1.03
1927.63	-3.94	9.1	-2.4	0.96
1927.54	-3.97	9.11	-1.66	0.99
1927.46	-3.85	9.09	-2.12	0.99
1927.38	-3.67	9.11	-1.93	0.97
1927.29	-3.48	9.1	-1.75	1
1927.21	-3.3	9.07	-1.56	1.03
1927.13	-3.35	9.15	-2.19	1
1927.04	-3.41	9.19	-2.81	1.02
1926.96	-3.42	9.2	-2.89	1.02
1926.88	-3.46	9.19	-2.76	1
1926.79	-3.53	9.16	-2.54	1.01
1926.71	-3.6	9.14	-2.32	1.12
1926.63	-3.67	9.09	-2.09	1.01
1926.54	-3.75	9.04	-1.87	1
1926.46	-3.76	9	-1.61	1.04
1926.38	-3.54	8.99	-1.32	1.03
1926.29	-3.33	9.07	-1.25	1.05
1926.21	-3.27	9.11	-1.52	1.07
1926.13	-3.3	9.17	-1.62	1.09
1926.04	-3.26	9.16	-1.8	1.08
1925.96	-3.48	9.17	-1.85	1.08
1925.88	-3.59	9.16	-1.72	1.11
1925.79	-3.57	9.15	-1.67	1.13
1925.71	-3.87	9.11	-1.76	1.1
1925.63	-3.75	9.07	-1.55	1.05
1925.54	-3.64	9.04	-1.15	1.03
1925.46	-3.68	9.1	-1.21	1.08
1925.38	-3.78	9.1	-1.8	1.04
1925.29	-3.81	9.1	-2.01	1.05
1925.21	-3.66	9.16	-1.95	1.06
1925.13	-3.91	9.14	-2.06	1.07
1925.04	-3.84	9.12	-1.88	1.06
1924.96	-3.72	9.14	-1.85	1.07
1924.88	-3.65	9.13	-1.69	1.06
1924.79	-3.82	9.1	-1.9	1.03
1924.71	-3.83	9.1	-2.12	1.02
1924.63	-3.74	9.13	-2.03	1.04
1924.54	-3.65	9.14	-1.82	1.06
1924.46	-3.44	9.16	-1.71	1.06
1924.38	-3.57	9.2	-1.97	1.06
1924.29	-3.72	9.16	-2.02	1.04
1924.21	-3.86	9.14	-2.12	1.04
1924.13	-3.74	9.06	-2.25	1.03
1924.04	-4.02	9.11	-2.28	1.01
1923.96	-4.25	9.08	-2.42	1
1923.88	-4.21	9.05	-2.22	1
1923.79	-4.19	9.01	-2.1	0.99
1923.71	-4.23	8.96	-2.15	0.97
1923.63	-4.29	8.99	-2.25	0.96
1923.54	-4.14	9.02	-2.18	0.95
1923.46	-3.84	9.08	-1.99	0.97
1923.38	-3.55	9.14	-1.81	0.99
1923.29	-3.42	9.11	-1.77	1
1923.21	-3.35	9.09	-1.9	1.01
1923.13	-3.61	9.13	-1.93	1.05
1923.04	-3.35	9.15	-1.85	1.06
1922.96	-3.75	9.16	-2.08	1.01
1922.88	-3.55	9.18	-1.66	1.08
1922.79	-3.69	9.18	-1.64	1.1
1922.71	-3.99	8.96	-1.89	1.02
1922.63	-3.95	9.02	-1.89	1.01
1922.54	-3.89	9.06	-1.85	1.01
1922.46	-3.75	9.07	-1.82	1
1922.38	-3.58	9.1	-1.79	1.01
1922.29	-3.4	9.14	-1.76	1.02
1922.21	-3.35	9.14	-1.11	1.06
1922.13	-3.42	9.17	-2.08	1.04
1922.04	-3.56	9.07	-2.09	1.02
1921.96	-3.78	8.98	-2.02	1.01
1921.88	-3.86	9.13	-1.72	1.05
1921.79	-4	9.05	-1.89	1.04
1921.71	-3.69	8.94	-1.46	1.01
1921.63	-3.93	9.04	-1.9	1.03
1921.54	-3.94	9.05	-2.01	0.98
1921.46	-3.95	9.09	-2.12	0.97
1921.38	-3.5	8.93	-1.74	1
1921.29	-3.39	9.03	-1.83	1.02
1921.21	-3.25	9.21	-1.69	1.04
1921.13	-3.27	9.28	-1.67	1.08
1921.04	-3.37	9.24	-1.67	1.08
1920.96	-3.44	9.23	-1.74	1.08
1920.88	-3.37	9.3	-1.85	1.09
1920.79	-3.53	9.25	-2.08	1.11
1920.71	-3.56	9.2	-2.04	1.12
1920.63	-3.78	9.19	-2.19	1.1
1920.54	-3.93	9.09	-2	1.05
1920.46	-4.08	9.05	-1.8	1.02
1920.38	-3.94	9	-1.52	1
1920.29	-3.52	9.08	-1.29	1
1920.21	-3.06	8.99	-1.12	1.03
1920.13	-3.51	9.13	-1.51	1.02
1920.04	-3.38	9.17	-1.86	1.04
1919.96	-3.37	8.94	-1.86	1.05
1919.88	-3.22	9.21	-2.8	1.18
1919.79	-3.76	9.02	-2.57	1.06
1919.71	-4.06	9.05	-2.35	1.04
1919.63	-3.67	9.07	-1.69	1.03
1919.54	-3.76	9.09	-1.83	1.03
1919.46	-3.93	9.22	-1.69	1.17
1919.38	-3.87	8.99	-1.67	1.02
1919.29	-3.61	9.08	-1.56	1.05
1919.21	-2.79	9.17	-1.87	1.08
1919.13	-3.19	9.21	-1.57	1.07
1919.04	-3.34	9.19	-2.06	1.09
1918.96	-3.56	9.12	-2.44	1.03
1918.88	-3.29	8.94	-1.58	1.02
1918.79	-3.73	8.93	-1.97	1.02
1918.71	-3.91	8.98	-1.88	1.05
1918.63	-3.98	8.86	-1.96	1
1918.54	-4.18	8.89	-2.04	1
1918.46	-3.85	8.93	-1.62	1.01
1918.38	-3.42	9.13	-1.25	1.02
1918.29	-3.24	9.15	-1.23	1.03
1918.21	-3.05	9.15	-1.51	1.04
1918.13	-3.11	9.14	-1.67	1.06
1918.04	-3.28	9.15	-1.93	1.07
1917.96	-3.41	9.15	-1.95	1.07
1917.88	-3.48	9.12	-1.86	1.07
1917.79	-3.67	9.13	-1.78	1.09
1917.71	-3.88	9.1	-1.91	1.06
1917.63	-3.75	9.09	-1.57	1.04
1917.54	-3.41	9.03	-0.82	1.01
1917.46	-3.57	9.01	-1.31	1.05
1917.38	-3.23	9.12	-0.98	1.05
1917.29	-3.04	9.18	-0.98	1.07
1917.21	-2.88	9.09	-1.12	1.05
1917.13	-3.01	9.13	-1.28	1.07
1917.04	-3.2	9.01	-1.49	1.06
1916.96	-3.34	9.09	-1.72	1.04
1916.88	-3.48	9.21	-1.79	1.14
1916.79	-3.73	9.21	-2.19	1.2
1916.71	-3.82	9.11	-2.29	1.11
1916.63	-3.84	8.94	-2.13	1.02
1916.54	-3.88	9.01	-2.11	0.99
1916.46	-3.63	9.16	-1.73	1.02
1916.38	-3.24	9.16	-1.63	1.01
1916.29	-2.98	9.2	-1.63	1.03
1916.21	-2.79	9.25	-1.85	1.03
1916.13	-2.81	9.29	-2.02	1.05
1916.04	-2.94	9.26	-2	1.02
1915.96	-3.09	9.24	-2	1.01
1915.88	-3.29	9.14	-1.98	1.01
1915.79	-3.37	9.06	-1.62	1.02
1915.71	-3.5	9.1	-1.53	1
1915.63	-3.74	9.1	-1.76	0.99
1915.54	-3.64	9.01	-1.68	0.97
1915.46	-3.47	9.07	-1.44	0.98
1915.38	-3.37	9.15	-1.39	1.01
1915.29	-2.95	9.17	-1.51	1.01
1915.21	-2.89	9.1	-1.7	0.99
1915.13	-3.01	9.23	-1.98	1.02
1915.04	-3.21	9.24	-2.01	1.02
1914.96	-3.28	9.2	-2.02	1.01
1914.88	-3.5	9.15	-2.03	1.02
1914.79	-3.66	9.13	-2.2	1
1914.71	-3.91	9.14	-2.35	1
1914.63	-3.8	8.97	-2.4	0.96
1914.54	-3.83	9.08	-2.13	0.96
1914.46	-3.65	9.13	-1.9	1
1914.38	-3.39	9.15	-1.73	1
1914.29	-3.08	9.22	-1.71	1.04
1914.21	-2.86	9.19	-1.3	1.01
1914.13	-3.06	9.25	-1.81	1.01
1914.04	-3.24	9.08	-2.19	0.97
1913.96	-3.35	9.06	-2.26	0.99
1913.88	-3.45	9.18	-2.13	1.01
1913.79	-3.57	9.13	-1.9	1.01
1913.71	-3.66	9.12	-1.95	1.01
1913.63	-3.79	9.09	-2.14	0.98
1913.54	-3.59	9.05	-1.95	0.97
1913.46	-3.45	9.12	-1.77	0.98
1913.38	-3.2	9.18	-1.55	1.03
1913.29	-3	9.24	-1.58	1.04
1913.21	-2.93	9.28	-1.69	1.06
1913.13	-2.97	9.25	-1.68	1.07
1913.04	-3.05	9.2	-1.75	1.05
1912.96	-3.16	9.15	-1.78	1.05
1912.88	-3.28	9.2	-1.81	1.05
1912.79	-3.26	9.17	-1.73	1.07
1912.71	-3.41	9.16	-1.75	1.05
1912.63	-3.58	9.03	-1.89	1.01
1912.54	-3.76	9.04	-2.03	0.98
1912.46	-3.88	9.02	-2.09	1
1912.38	-3.79	9.07	-1.77	1.03
1912.29	-3.7	9.13	-1.45	1.01
1912.21	-3.29	9.31	-1.48	1.17
1912.13	-3.54	9.07	-1.91	1.04
1912.04	-3.65	9.07	-2.25	1.04
1911.96	-3.59	9.09	-2.24	1.05
1911.88	-3.68	9.08	-2.18	1.05
1911.79	-3.87	9.05	-2.38	1.04
1911.71	-4.05	9.02	-2.37	1.04
1911.63	-4.2	9	-2.34	1.04
1911.54	-4.11	9.04	-2.22	1.05
1911.46	-3.82	9.05	-1.74	1.07
1911.38	-3.63	9.04	-1.56	1.09
1911.29	-3.4	9.11	-1.48	1.12
1911.21	-3.21	9.27	-1.42	1.21
1911.13	-3.45	9.2	-2.22	1.09
1911.04	-3.48	9.18	-2.43	1.06
1910.96	-3.66	9.06	-2.56	1.04
1910.88	-3.8	9.03	-2.45	1.03
1910.79	-3.77	9.08	-2.26	1.05
1910.71	-3.68	9.13	-2.11	1.07
1910.63	-3.59	9.18	-1.96	1.09
1910.54	-3.5	9.22	-1.81	1.11
1910.46	-3.4	9.19	-1.66	1.11
1910.38	-3.3	9.17	-1.47	1.1
1910.29	-3.19	9.21	-1.24	1.13
1910.21	-3.08	9.23	-1	1.15
1910.13	-3.22	9.09	-1.13	1.12
1910.04	-3.08	9.18	-0.56	1.08
1909.96	-3.23	9.2	-1.02	1.09
1909.88	-3.3	9.19	-1.22	1.08
1909.79	-3.32	9.19	-1.24	1.1
1909.71	-3.4	9.14	-1.32	1.11
1909.63	-3.51	9.11	-1.41	1.11
1909.54	-3.59	9.13	-1.47	1.11
1909.46	-3.62	9.14	-1.41	1.11
1909.38	-3.47	9.14	-1.06	1.1
1909.29	-3.3	9.2	-0.96	1.15
1909.21	-3.13	9.23	-0.86	1.16
1909.13	-3.16	9.15	-1.09	1.13
1909.04	-3.29	9.2	-1.45	1.12
1908.96	-3.26	9.21	-1.26	1.12
1908.88	-3.38	9.22	-1.4	1.12
1908.79	-3.41	9.1	-1.49	1.07
1908.71	-3.52	9.14	-1.31	1.1
1908.63	-3.4	9.18	-1.04	1.12
1908.54	-3.66	8.98	-1.41	1.08
1908.46	-3.64	9.17	-1.66	1.09
1908.38	-3.63	9.15	-1.36	1.08
1908.29	-3.36	9.18	-0.94	1.11
1908.21	-3.18	8.96	-1.07	1.08
1908.13	-3.22	9.13	-0.94	1.09
1908.04	-3.26	9.1	-1.3	1.06
1907.96	-3.15	9.15	-1.05	1.07
1907.88	-3.31	9.09	-1.51	1.05
1907.79	-3.41	9.08	-1.7	1.05
1907.71	-3.38	9.1	-1.57	1.08
1907.63	-3.48	9.16	-1.59	1.13
1907.54	-3.5	9.22	-1.79	1.17
1907.46	-3.26	9.21	-1.48	1.15
1907.38	-3.22	9.16	-1.71	1.12
1907.29	-3.32	9.23	-1.61	1.17
1907.21	-3.13	9.17	-1.66	1.05
1907.13	-3.14	9.16	-1.5	1.11
1907.04	-3.25	9.11	-1.84	1.08
1906.96	-3.33	8.94	-2	1.04
1906.88	-3.27	9.13	-1.57	1.13
1906.79	-3.18	9.13	-1.24	1.15
1906.71	-3.31	9.16	-1.29	1.09
1906.63	-3.5	9.08	-1.28	1.07
1906.54	-3.6	9.11	-1.13	1.09
1906.46	-3.84	9.03	-1.14	1.12
1906.38	-3.44	9.11	-0.89	1.12
1906.29	-3.34	9.11	-0.69	1.1
1906.21	-3.23	9.14	-0.85	1.12
1906.13	-3.35	9.16	-1.28	1.12
1906.04	-3.45	9.13	-1.55	1.07
1905.96	-3.6	9.06	-1.84	1.02
1905.88	-3.76	8.95	-1.67	1.06
1905.79	-3.97	9.07	-1.66	1.07
1905.71	-4.04	9.05	-1.99	1.04
1905.63	-3.98	9.13	-2.16	1.13
1905.54	-4.13	9.04	-1.96	1
1905.46	-4.21	9	-1.84	0.98
1905.38	-4.12	9.11	-1.69	1.03
1905.29	-3.82	9.14	-1.64	1.05
1905.21	-3.3	9.14	-1.44	1.04
1905.13	-3.52	9.16	-2.16	1.04
1905.04	-3.74	9.16	-2.2	1.03
1904.96	-3.77	9.15	-2.13	1.04
1904.88	-3.93	9.02	-2.07	1
1904.79	-4.09	8.99	-2.08	1
1904.71	-4.31	9.03	-2.13	1
1904.63	-4.05	9.04	-1.81	0.99
1904.54	-3.94	9.05	-1.75	1
1904.46	-3.52	9.07	-1.76	1.01
1904.38	-3.47	9.11	-2	1.01
1904.29	-3.39	9.16	-2.14	1.02
1904.21	-3.3	9.07	-2.17	0.99
1904.13	-3.42	9.03	-2.08	1
1904.04	-3.57	9.02	-1.98	0.99
1903.96	-3.73	9.02	-1.95	0.98
1903.88	-3.88	9.02	-2.06	0.99
1903.79	-3.97	9.01	-1.99	0.99
1903.71	-3.94	9	-1.79	1
1903.63	-3.84	8.98	-1.55	1
1903.54	-3.73	8.97	-1.38	1.01
1903.46	-3.6	9.01	-0.94	1.04
1903.38	-3.5	9.05	-0.88	1.07
1903.29	-3.44	9.11	-1.06	1.1
1903.21	-3.42	9.19	-1.31	1.12
1903.13	-3.54	9.16	-1.59	1.1
1903.04	-3.53	9.18	-1.64	1.1
1902.96	-3.71	9.13	-1.84	1.06
1902.88	-3.9	9.1	-1.86	1.04
1902.79	-4.06	9.07	-2.03	1.03
1902.71	-4.11	9.06	-2.1	1.03
1902.63	-4.01	9.06	-1.89	1.01
1902.54	-3.63	9.06	-1.4	1.01
1902.46	-3.53	9.08	-1.23	1.05
1902.38	-3.62	9.1	-1.24	1.07
1902.29	-3.5	9.12	-1.46	1.09
1902.21	-3.28	9.17	-1.69	1.09
1902.13	-3.35	9.25	-1.93	1.09
1902.04	-3.48	9.24	-2.01	1.08
1901.96	-3.5	9.21	-1.86	1.07
1901.88	-3.9	9.13	-2.05	1.04
1901.79	-4.1	9.08	-2.08	1.03
1901.71	-4.15	9.08	-2.02	1.03
1901.63	-4.18	9.05	-1.98	1.03
1901.54	-4.1	9.04	-1.85	1.02
1901.46	-3.79	9.08	-1.53	1.04
1901.38	-3.51	9.16	-1.78	1.07
1901.29	-3.49	9.19	-2.06	1.08
1901.21	-3.38	9.24	-2.15	1.07
1901.13	-3.49	9.21	-2.18	1.05
1901.04	-3.48	9.19	-2.2	1.05
1900.96	-3.6	9.18	-2.24	1.05
1900.88	-3.78	9.16	-2.24	1.04
1900.79	-3.92	9.13	-2.19	1.04
1900.71	-4.03	9.1	-2.16	1.02
1900.63	-4.04	9.09	-1.9	1.02
