# Eur_3 - PAGES 2K Nsc12 MXD Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Eur_3 - Nsc12
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Esper J, Frank DC, Timonen M, Zorita E, Wilson RJS, Luterbacher J, Holzkämper S, Fischer N, Wagner S, Nievergelt D, Verstege A, Büntgen U (2012) Orbital forcing of tree-ring data. Nature Climate Change  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Nsc12
#	Location: Europe
#	Country: Finland
#	Northernmost_Latitude: 68
#	Southernmost_Latitude: 68
#	Easternmost_Longitude: 25
#	Westernmost_Longitude: 25
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Eur_3
#	Earliest_Year: -138.0
#	Most_Recent_Year: 2005.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##MXD	maximum latewood density, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	MXD
180.0	0.357826
181.0	0.113458
182.0	0.53092
183.0	-0.33455
184.0	-0.28364
185.0	0.418918
186.0	0.4291
187.0	0.093094
188.0	0.27637
189.0	-0.100364
190.0	1.325116
191.0	0.551284
192.0	0.449464
193.0	-0.314186
194.0	-0.08
195.0	-1.271294
196.0	-0.141092
197.0	-0.955652
198.0	-0.599282
199.0	-1.057472
200.0	-0.28364
201.0	-1.128746
202.0	-0.466916
203.0	-0.314186
204.0	-0.18182
205.0	-0.212366
206.0	0.215278
207.0	-0.049454
208.0	-0.833468
209.0	0.17455
210.0	1.264024
211.0	-0.151274
212.0	0.398554
213.0	-0.008726
214.0	0.317098
215.0	0.042184
216.0	0.317098
217.0	0.622558
218.0	-0.986198
219.0	0.571648
220.0	-0.33455
221.0	-2.034944
222.0	-0.497462
223.0	0.093094
224.0	0.052366
225.0	-0.110546
226.0	-0.18182
227.0	-1.057472
228.0	-0.446552
229.0	1.29457
230.0	-0.864014
231.0	-0.161456
232.0	0.622558
233.0	-0.212366
234.0	-0.13091
235.0	0.235642
236.0	-1.271294
237.0	0.205096
238.0	0.48001
239.0	0.510556
240.0	-0.53819
241.0	0.968746
242.0	0.113458
243.0	0.154186
244.0	0.775288
245.0	0.693832
246.0	-0.344732
247.0	-0.23273
248.0	-0.609464
249.0	-1.138928
250.0	-0.13091
251.0	-0.955652
252.0	1.060384
253.0	-0.548372
254.0	-0.354914
255.0	0.826198
256.0	0.897472
257.0	0.48001
258.0	-0.314186
259.0	0.592012
260.0	-1.118564
261.0	-0.161456
262.0	0.490192
263.0	-0.324368
264.0	-0.202184
265.0	-1.088018
266.0	0.68365
267.0	-0.94547
268.0	-0.365096
269.0	0.062548
270.0	-0.84365
271.0	-0.925106
272.0	0.194914
273.0	-0.324368
274.0	-0.619646
275.0	-0.405824
276.0	0.17455
277.0	0.266188
278.0	0.816016
279.0	0.439282
280.0	-0.110546
281.0	0.184732
282.0	-0.89456
283.0	0.12364
284.0	0.296734
285.0	0.07273
286.0	-0.120728
287.0	-0.212366
288.0	-0.222548
289.0	-0.629828
290.0	-1.088018
291.0	-0.039272
292.0	-0.69092
293.0	-0.833468
294.0	0.32728
295.0	-0.110546
296.0	-0.23273
297.0	0.98911
298.0	0.571648
299.0	-1.35275
300.0	-1.088018
301.0	-2.187674
302.0	-0.599282
303.0	-0.79274
304.0	-0.497462
305.0	-1.322204
306.0	-0.497462
307.0	-0.772376
308.0	-0.853832
309.0	-0.874196
310.0	-0.94547
311.0	-1.393478
312.0	-1.006562
313.0	-0.344732
314.0	-1.6073
315.0	-1.65821
316.0	-0.884378
