# Baffin Island 1250 Year Summer Temperature Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:5466
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/baffin/donard_2001.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2003-10
#--------------------
# Title
#	Study_Name: Baffin Island 1250 Year Summer Temperature Reconstruction
#--------------------
# Investigators
#       Investigators: Moore, J.J.; Hughen, K.A.; Miller, G.H.; Overpeck, J.T. 
#--------------------
# Description_and_Notes
#	Description: Summer temperature reconstruction based on laminae thickness in sediments from Donard Lake, Baffin Island, Canada.   66�40'N 61�21'W
#--------------------
# Publication 
#       Authors: Moore, J.J.; Hughen, K.A.; Miller, G.H.; Overpeck, J.T. 
#       Published_Date_or_Year: 2001
#       Published_Title: Little Ice Age Recorded in Summer Temperatures from Varved Sediments of Donard Lake, Baffin Island, Canada.
#       Journal_Name: Journal of Paleolimnology
#       Volume: 25
#       Edition: 
#       Issue: 
#       Pages: 503-517 
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Moore, J.J., K.A. Hughen, G.H. Miller, J.T. Overpeck. 2001. Little Ice Age Recorded in Summer Temperatures from Varved Sediments of Donard Lake, Baffin Island, Canada. Journal of Paleolimnology Vol. 25, pp. 503-517
#       Abstract: Clastic varved sediments from Donard Lake, in the Cape Dyer region of  Baffin Island, provide a 1250 yr record of decadal-to-centennial scale  climate variability. Donard Lake experiences strong seasonal fluctuations  in runoff and sediment fluxes due to the summer melting of the Caribou  Glacier, which presently dominates its catchment. The seasonal variation  in sediment supply results in the annual deposition of laminae couplets.  A radiocarbon date measured on moss fragments, with a calibrated age of  860 � 80 yrs before present (BP), is in close agreement with the age  based on paired-layer counts. Together with the fabric of the laminae  determined from microscope analysis, the age agreement demonstrates that  the laminae couplets are annually deposited varves. Comparisons of varve  thickness and average summer temperature from nearby Cape Dyer show a  significant positive correlation (r= 0.57 for annual records, r = 0.82  for 3-yr averages), indicating that varve thickness reflects changes  in average summer temperature. Varve thickness was used to reconstruct  average summer temperatures for the past 1250 yrs, and shows abrupt  shifts and large amplitude decadal-to-centennial scale variability  throughout the record. The most prominent feature of the record is  a period of elevated summer temperatures from 1200-1375 AD, followed  by cooler conditions from 1375-1820 AD, coincident with the  Little Ice Age. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Donard Lake, Baffin Island, Canada
#       Location: North America>Canada
#	Country: Canada 
#	Northernmost_Latitude: 66.6667 
# 	Southernmost_Latitude: 66.6667 
# 	Easternmost_Longitude: -61.35 
# 	Westernmost_Longitude: -61.35 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 01cana01a 
#	Earliest_Year: 752
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Lake Cores, , ,N
##varve	varve thickness, varve sediment, , , , Lake Cores, , ,N
##sst	varve thickness-based sea surface temperature reconstruction, , ,degrees C, , Lake Cores, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	varve	sst
1634	0.96	3.357304
1633	0.54	2.345146
1632	0.76	2.875324
1631	0.76	2.875324
1630	1.37	4.345363
1629	0.96	3.357304
1628	0.98	3.405502
1627	1.01	3.477799
1626	0.64	2.586136
1625	0.61	2.513839
1624	0.61	2.513839
1623	0.45	2.128255
1622	0.55	2.369245
1621	1.03	3.525997
1620	0.69	2.706631
1619	1.62	4.947838
1618	0.69	2.706631
1617	1.08	3.646492
1616	0.69	2.706631
1615	0.66	2.634334
1614	0.63	2.562037
1613	1.03	3.525997
1612	0.76	2.875324
1611	1.55	4.779145
1610	1.06	3.598294
1609	0.45	2.128255
1608	1.24	4.032076
1607	0.5	2.24875
1606	1.27	4.104373
1605	1.5	4.65865
1604	0.64	2.586136
1603	0.78	2.923522
1602	0.66	2.634334
1601	0.5	2.24875
1600	0.45	2.128255
1599	0.4	2.00776
1598	0.65	2.610235
1597	0.34	1.863166
1596	0.47	2.176453
1595	0.28	1.718572
1594	0.32	1.814968
1593	0.3	1.76677
1592	0.41	2.031859
1591	0.47	2.176453
1590	0.49	2.224651
1589	0.41	2.031859
1588	0.49	2.224651
1587	0.39	1.983661
1586	0.56	2.393344
1585	0.52	2.296948
1584	0.6	2.48974
1583	0.93	3.285007
1582	0.89	3.188611
1581	0.91	3.236809
1580	0.41	2.031859
1579	0.89	3.188611
1578	0.94	3.309106
1577	0.63	2.562037
1576	1.16	3.839284
1575	0.5	2.24875
1574	1.16	3.839284
1573	0.65	2.610235
1572	0.51	2.272849
1571	0.56	2.393344
1570	1.37	4.345363
1569	0.82	3.019918
1568	0.78	2.923522
1567	0.35	1.887265
1566	0.27	1.694473
1565	0.57	2.417443
1564	0.71	2.754829
1563	0.47	2.176453
1562	0.53	2.321047
1561	0.67	2.658433
1560	0.41	2.031859
1559	1.01	3.477799
1558	0.86	3.116314
1557	0.46	2.152354
1556	1.05	3.574195
1555	0.74	2.827126
1554	0.72	2.778928
1553	0.84	3.068116
1552	0.38	1.959562
1551	0.98	3.405502
1550	0.76	2.875324
1549	0.64	2.586136
1548	1.72	5.188828
1547	1.38	4.369462
1546	0.52	2.296948
1545	0.49	2.224651
1544	0.52	2.296948
1543	1.06	3.598294
1542	0.49	2.224651
1541	1.19	3.911581
1540	0.96	3.357304
1539	0.32	1.814968
1538	0.52	2.296948
1537	0.69	2.706631
1536	0.52	2.296948
1535	0.42	2.055958
1534	0.72	2.778928
1533	0.42	2.055958
1532	0.76	2.875324
1531	0.47	2.176453
1530	0.57	2.417443
1529	0.91	3.236809
1528	0.57	2.417443
1527	0.49	2.224651
1526	0.92	3.260908
1525	0.65	2.610235
1524	0.85	3.092215
1523	0.6	2.48974
1522	0.7	2.73073
1521	0.39	1.983661
1520	0.52	2.296948
1519	1.1	3.69469
1518	0.54	2.345146
1517	0.81	2.995819
1516	0.58	2.441542
1515	0.45	2.128255
1514	0.54	2.345146
1513	0.7	2.73073
1512	0.68	2.682532
1511	0.91	3.236809
1510	0.62	2.537938
1509	0.75	2.851225
1508	0.82	3.019918
1507	0.71	2.754829
1506	0.62	2.537938
1505	0.51	2.272849
1504	0.98	3.405502
1503	1.36	4.321264
1502	1.16	3.839284
1501	1.14	3.791086
1500	0.67	2.658433
1499	0.45	2.128255
1498	0.85	3.092215
1497	0.87	3.140413
1496	0.44	2.104156
1495	0.6	2.48974
1494	0.62	2.537938
1493	0.59	2.465641
1492	0.44	2.104156
1491	1.01	3.477799
1490	0.38	1.959562
1489	0.52	2.296948
1488	0.42	2.055958
1487	1.07	3.622393
1486	1.34	4.273066
1485	0.36	1.911364
1484	0.35	1.887265
1483	0.28	1.718572
1482	0.61	2.513839
1481	0.72	2.778928
1480	0.53	2.321047
1479	0.43	2.080057
1478	0.51	2.272849
1477	0.71	2.754829
1476	0.63	2.562037
1475	0.97	3.381403
1474	0.46	2.152354
1473	1.04	3.550096
1472	1.14	3.791086
1471	0.54	2.345146
1470	0.9	3.21271
1469	0.57	2.417443
1468	2.51	7.092649
1467	1.4	4.41766
1466	1.5	4.65865
1465	1.24	4.032076
1464	1.21	3.959779
1463	1.26	4.080274
1462	0.43	2.080057
1461	0.53	2.321047
1460	0.75	2.851225
1459	0.95	3.333205
1458	0.65	2.610235
1457	0.3	1.76677
1456	1.49	4.634551
1455	2.41	6.851659
1454	0.48	2.200552
1453	0.92	3.260908
1452	0.55	2.369245
1451	0.72	2.778928
1450	0.84	3.068116
1449	0.65	2.610235
1448	0.85	3.092215
1447	1.64	4.996036
1446	0.38	1.959562
1445	0.72	2.778928
1444	0.87	3.140413
1443	0.48	2.200552
1442	0.49	2.224651
1441	0.61	2.513839
1440	0.85	3.092215
1439	0.39	1.983661
1438	0.73	2.803027
1437	0.41	2.031859
1436	0.41	2.031859
1435	0.77	2.899423
1434	0.61	2.513839
1433	1.1	3.69469
1432	0.76	2.875324
1431	0.73	2.803027
1430	0.42	2.055958
1429	0.63	2.562037
1428	0.7	2.73073
