# Antarctic & Greenland-GRIP Synchronization Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2438
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/grip/synchronization/iso_bl98.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1998
# --------------------
# Title 
#	Study_Name: Antarctic & Greenland-GRIP Synchronization Data
# --------------------
# Investigators
#	Investigators: Uemura, R.; Mason-Delmotte, V.; Jouzel, J.; Landais, A.; Motoyama, H.; Stenni, B. 
# --------------------
# Description_and_Notes
# 	Description: Data from the synchronization of Antarctic records to the Greenland GRIP record:
#	********************************************************************************
#	The data was used for Figures 2 of Stauffer et al., 1998 and Blunier et al., 1998. 
#	These references should only be used referring to the synchronised Antarctic time scale 
#	but not to the original data.  References to the original data are also given above.
#
#	GRIP (Greenland IceCore Project)
#	================================
#	The GRIP time scale is the reference time scale. It's construction is described in 
#	Johnsen et al., 1992 and Johnsen et al., 1995 which should also be referenced in that respect. 
#	0 yr BP corresponds to 1989.
#
#	Antarctic synchronised time scales:
#	===================================
#	The Antarctic records are synchronised to the GRIP record via the fast variations of the 
#	global methane signal. The uncertainty of this synchronization is time dependent 
#	(see Blunier et al., 1998 and Stauffer et al., 1998 for details).
#	The Byrd time scale for the isotope and for the CO2 record differ. This is so since gas is 
#	occluded not at the surface of the ice sheet but in a depth of 50-100 m depending on the site 
#	characteristics. This makes a gas sample from a specific depth younger than the surrounding ice.
#	The time period 25-17 kyr BP was excluded from the synchronization, since only low CH4 variations 
#	appear during that period making the correlation uncertain.
#	Note: The CO2 time scale given here is not identical to the one published in Stauffer et al., 1998. 
#	The difference is in the order of 200yr and arises due to 
#	1) the exclusion of the time period 25-17 kyr BP which was used in Stauffer et al. 1998, and 
#	2) a stronger smoothing of the age scale derived from the CH4 synchronization.
#
#	Warnings:
#	=========
#	None of the used time scale is considered as absolute. Thus fluctuations in the annual layer 
#	thickness show up in the synchronised Antarctic cores. This variations must not be taken as real. 
#	However the synchronization is not dependent on absolute time scale. The reliability of the 
#	synchronization is higher on the Byrd side since Vostok has an ice age gas age difference 
#	10 fold larger than the Byrd one.
#
# --------------------
# Publication
#	Authors: T. Blunier, J. Chappellaz, J. Schwander, A. Dällenbach, B. Stauffer, T. F. Stocker, D. Raynaud, J. Jouzel, H. B. Clausen, C. U. Hammer & S. J. Johnsen
#	Published_Date_or_Year: 1998-02-13
#	Published_Title: Asynchrony of Antarctic and Greenland climate change during the last glacial period
#	Journal_Name: Nature
#	Volume: 394
#	Edition: 	
#	Issue: 
#	Pages: 739-743
#	DOI: doi:10.1038/29447 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A central issue in climate dynamics is to understand how the Northern and Southern hemispheres are coupled during climate events. The strongest of the fast temperature changes observed in Greenland (so-called Dansgaard–Oeschger events) during the last glaciation have an analogue in the temperature record from Antarctica. A comparison of the global atmospheric concentration of methane as recorded in ice cores from Antarctica and Greenland permits a determination of the phase relationship (in leads or lags) of these temperature variations. Greenland warming events around 36 and 45 kyr before present lag their Antarctic counterpart by more than 1 kyr. On average, Antarctic climate change leads that of Greenland by 1–2.5 kyr over the period 47–23 kyr before present.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Byrd
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: 80
#	Southernmost_Latitude: 80
#	Easternmost_Longitude: 119.5
#	Westernmost_Longitude: 119.5
#	Elevation: 1530 m
# --------------------
# Data_Collection
#	Collection_Name: 98Byrd01
#	Earliest_Year: 50160
#	Most_Recent_Year: 10015
#	Time Unit: yb 1989
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yrb_1989	Age,,,years before 1989,,,,,N
##d18O		d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
yrb_1989	d18O
47731	-39.86
47828	-40.1
47924	-39.86
48020	-40.16
48115	-39.86
48211	-40.39
48306	-39.86
48400	-39.51
48493	-40.1
48585	-40.04
48678	-39.63
48769	-40.04
48860	-39.27
48950	-39.51
49039	-40.1
49126	-39.98
49215	-39.86
49304	-39.63
49392	-39.33
49480	-39.63
49566	-39.16
49653	-39.69
49739	-39.63
49825	-39.1
49910	-38.09
49994	-38.21
50077	-38.92
50160	-39.1
