# New Caledonia Porites Coral Paleothermometry Assessment Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1917
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2005-03
#--------------------
# Title
#	Study_Name: New Caledonia Porites Coral Paleothermometry Assessment Data
#--------------------
# Investigators
#       Investigators: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#--------------------
# Description_and_Notes
#	Description: Porites lutea cores were collected in 1992 by Fred Taylor, Jamie Austin, Yvan Join and  John Butscher.  The isotope data were analyzed at the University of South Florida  College of Marine Science, on a Finnigan Delta Plus XL mass spectrometer and attached  Kiel Carbonate Device with an analytical precision of 0.04 per mil for carbon and 0.08  per mil for oxygen (1 sigma) determined by repeated measurements of NBS 19 relative to VPDB.   The elemental data were analyzed on a Perkin Elmer Optima 4300DV ICP-OES following the  drift-correction methods of Schrag (1999).  Analytical precision (1 sigma) for the Sr/Ca  determinations is 0.2 % (0.018 mmol/mol), based on a laboratory standard solution of  dissolved Porites lutea. Depth series were converted to time series using AnalySeries  software (Paillard et al., 1996) to match Sr/Ca minima to SST maxima and vise versa.  Stable isotopic and Sr/Ca determinations on samples from Cores 99-PAA, 92-PAC and 92-PAD  were made at USF.  Stable isotopic determinations on samples from core 92-PAA made at the  University of Michigan.  Sr/Ca determinations on samples from core 92-PAA made at the  University of California-Santa Cruz. 
#--------------------
# Publication 
#       Authors: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#       Published_Date_or_Year: 2004     
#       Published_Title: Assessing the Reproducibility of Coral-based Climate Records.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L18210
#       Pages: 
#       DOI: 10.1029/2004GL020343
#       Online_Resource: 
#       Full_Citation: Stephans, C., T.M. Quinn, F. Taylor, and T. Correge. 2004. Assessing the Reproducibility of Coral-based Climate Records.  Geophysical Research Letters, 31,18, L18210, 10.1029/2004GL020343, 2004
#       Abstract: We perform replication tests using monthly variations in Sr/Ca and d18O in  four cores from three Porites lutea coral heads from New Caledonia to assess  the reproducibility of coral-based climate records.  Coral Sr/Ca (d18O) records  are well correlated to each other and to the instrumental SST record (1967-1992),  especially in terms of differences in the mean values of 25-year SST records  (~0.2C, Sr/Ca-SST; 0.6C, d18O-SST).  The average error associated with the  coral Sr/Ca-SST (d18O-SST) of any particular month, season or year is ~0.8C  (1.1C), 0.6C (0.8C) and 0.5C (0.6C), respectively.  "Stacking" or averaging  the individual proxy records reduces the error between observed and predicted SST,  although the reduction is small for coral Sr/Ca.  Excellent reproducibility among  the coral proxies implies that reliable climate records can be generated from a  single coral core and that coral Sr/Ca-SST records are not compromised, beyond  the errors stated herein, by non-temperature-related biological effects.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Amedee Island, New Caledonia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>New Caledonia
#	Country: New Caledonia 
#	Northernmost_Latitude: -22.48 
# 	Southernmost_Latitude: -22.48 
# 	Easternmost_Longitude: 166.47  
# 	Westernmost_Longitude: 166.47  
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 04newc02a 
#	Earliest_Year: 1967 
#	Most_Recent_Year: 1992 
#	Time_Unit: Years AD 
#	Core_Length:
#	Notes: From core 92PAD. These data have been updated by DeLong et al. 2012. Please see file: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2012.txt 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d13c	delta 13 Carbon, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N
##d18o	delta 18 Oxygen, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N 				
##Sr/Ca		Strontium/Calcium, Porites lutea, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	d13c	d18o	Sr/Ca
1977.958	-1.11	-4.74	9.075
1978.042	-1.20	-4.74	9.066
1978.125	-1.25	-4.80	9.065
1978.208	-1.30	-4.85	9.073
1978.292	-1.46	-4.77	9.113
1978.375	-1.62	-4.68	9.159
1978.458	-1.62	-4.44	9.236
1978.542	-1.80	-4.31	9.300
1978.625	-1.56	-4.20	9.306
1978.708	-1.36	-4.22	9.260
1978.792	-1.29	-4.31	9.200
1978.875	-1.51	-4.45	9.134
1978.958	-1.74	-4.56	9.104
1979.042	-1.78	-4.62	9.104
1979.125	-1.82	-4.72	9.080
1979.208	-1.77	-4.77	9.068
1979.292	-1.90	-4.78	9.111
1979.375	-1.97	-4.63	9.167
1979.458	-1.86	-4.39	9.230
1979.542	-1.83	-4.21	9.279
1979.625	-1.79	-4.10	9.323
1979.708	-1.71	-4.11	9.317
1979.792	-1.62	-4.20	9.257
1979.875	-1.51	-4.41	9.157
1979.958	-1.45	-4.58	9.061
1980.042	-1.33	-4.84	9.000
1980.125	-1.51	-4.94	8.998
1980.208	-1.65	-4.86	9.085
1980.292	-1.81	-4.72	9.152
1980.375	-1.81	-4.63	9.187
1980.458	-1.70	-4.52	9.249
1980.542	-1.52	-4.37	9.303
1980.625	-1.40	-4.23	9.375
1980.708	-1.35	-4.14	9.368
1980.792	-1.21	-4.21	9.359
1980.875	-1.32	-4.46	9.264
1980.958	-1.51	-4.57	9.204
1981.042	-1.45	-4.78	9.092
1981.125	-1.36	-4.97	9.039
1981.208	-1.48	-4.84	9.074
1981.292	-1.86	-4.63	9.114
1981.375	-1.81	-4.35	9.197
1981.458	-1.64	-4.10	9.311
1981.542	-1.44	-4.15	9.353
1981.625	-1.22	-4.25	9.316
1981.708	-1.10	-4.37	9.274
1981.792	-1.28	-4.51	9.238
1981.875	-1.44	-4.66	9.182
1981.958	-1.54	-4.82	9.109
1982.042	-1.59	-4.90	9.009
1982.125	-1.62	-4.94	8.937
1982.208	-1.53	-4.89	9.042
1982.292	-1.39	-4.71	9.120
1982.375	-1.60	-4.56	9.163
1982.458	-1.86	-4.32	9.254
1982.542	-1.89	-4.19	9.338
1982.625	-1.88	-4.13	9.375
1982.708	-1.77	-4.21	9.360
1982.792	-1.65	-4.50	9.310
1982.875	-1.90	-4.64	9.231
1982.958	-1.93	-4.82	9.120
1983.042	-1.66	-4.96	9.064
1983.125	-1.54	-5.02	9.055
1983.208	-1.53	-4.94	9.061
1983.292	-1.61	-4.80	9.134
1983.375	-1.70	-4.52	9.242
1983.458	-1.86	-4.31	9.288
1983.542	-2.13	-4.18	9.312
1983.625	-2.06	-4.20	9.330
1983.708	-1.92	-4.37	9.267
1983.792	-1.79	-4.49	9.175
1983.875	-1.90	-4.61	9.163
1983.958	-1.87	-4.70	9.132
1984.042	-1.86	-4.74	9.121
1984.125	-2.01	-4.71	9.121
1984.208	-1.99	-4.62	9.119
1984.292	-1.86	-4.49	9.162
1984.375	-1.87	-4.33	9.221
1984.458	-2.03	-4.21	9.300
1984.542	-2.19	-4.20	9.313
1984.625	-2.35	-4.18	9.337
1984.708	-2.28	-4.14	9.322
1984.792	-2.08	-4.22	9.327
1984.875	-1.85	-4.35	9.275
1984.958	-1.83	-4.70	9.115
1985.042	-1.67	-4.93	9.025
1985.125	-1.62	-5.05	9.011
1985.208	-1.47	-4.97	9.062
1985.292	-1.37	-4.86	9.079
1985.375	-1.83	-4.63	9.134
1985.458	-2.11	-4.37	9.262
1985.542	-2.03	-4.16	9.326
1985.625	-1.85	-4.15	9.366
1985.708	-1.68	-4.45	9.265
1985.792	-1.62	-4.62	9.146
1985.875	-1.78	-4.75	9.061
1985.958	-1.71	-4.95	9.018
1986.042	-1.51	-4.97	8.998
1986.125	-1.47	-4.96	9.045
1986.208	-1.63	-4.86	9.092
1986.292	-1.82	-4.82	9.134
1986.375	-1.90	-4.65	9.146
1986.458	-1.90	-4.47	9.207
1986.542	-1.87	-4.25	9.281
1986.625	-1.97	-4.13	9.308
1986.708	-1.86	-4.17	9.314
1986.792	-1.50	-4.32	9.267
1986.875	-1.32	-4.42	9.221
1986.958	-1.68	-4.73	9.153
1987.042	-1.74	-4.68	9.097
1987.125	-1.64	-4.70	9.083
1987.208	-1.67	-4.68	9.063
1987.292	-1.72	-4.59	9.113
1987.375	-1.83	-4.40	9.160
1987.458	-1.72	-4.33	9.213
1987.542	-1.78	-4.21	9.245
1987.625	-1.94	-4.20	9.282
1987.708	-1.90	-4.20	9.285
1987.792	-1.58	-4.25	9.277
1987.875	-1.34	-4.37	9.240
1987.958	-1.29	-4.49	9.173
1988.042	-1.27	-4.56	9.103
1988.125	-1.20	-4.71	9.067
1988.208	-1.28	-4.73	9.089
1988.292	-1.46	-4.60	9.116
1988.375	-1.71	-4.57	9.168
1988.458	-1.64	-4.41	9.209
1988.542	-1.63	-4.31	9.250
1988.625	-1.48	-4.22	9.272
1988.708	-1.32	-4.29	9.231
1988.792	-1.21	-4.42	9.171
1988.875	-1.22	-4.59	9.096
1988.958	-1.32	-4.76	9.031
1989.042	-1.42	-4.84	9.017
1989.125	-1.54	-4.98	9.035
1989.208	-1.63	-4.88	9.091
1989.292	-1.76	-4.75	9.146
1989.375	-1.79	-4.59	9.160
1989.458	-1.75	-4.47	9.183
1989.542	-1.54	-4.39	9.232
1989.625	-1.36	-4.38	9.254
1989.708	-1.09	-4.38	9.230
1989.792	-0.95	-4.47	9.171
1989.875	-1.06	-4.66	9.112
1989.958	-1.31	-4.86	9.063
1990.042	-1.44	-4.97	9.019
1990.125	-1.44	-5.10	8.980
1990.208	-1.36	-5.00	9.011
1990.292	-1.61	-4.78	9.094
1990.375	-1.64	-4.47	9.173
1990.458	-1.59	-4.42	9.200
1990.542	-1.61	-4.44	9.215
1990.625	-1.68	-4.46	9.236
1990.708	-1.69	-4.44	9.254
1990.792	-1.22	-4.19	9.249
1990.875	-1.09	-4.27	9.214
1990.958	-1.19	-4.53	9.111
1991.042	-1.52	-4.67	9.035
1991.125	-1.72	-4.83	9.000
1991.208	-1.74	-4.69	9.040
1991.292	-1.90	-4.47	9.125
1991.375	-2.04	-4.35	9.182
1991.458	-1.94	-4.29	9.223
1991.542	-1.91	-4.23	9.243
1991.625	-1.86	-4.16	9.284
1991.708	-1.64	-4.23	9.268
1991.792	-1.60	-4.35	9.208
1991.875	-1.73	-4.51	9.104
1991.958	-1.86	-4.75	9.035
1992.042	-1.94	-4.77	9.033
1992.125	-1.96	-4.78	9.016
1992.208	-1.97	-4.75	9.013
1992.292	-1.97	-4.73	9.016
1992.375	-1.92	-4.74	9.037
1992.458	-1.88	-4.75	9.063
1992.542	-1.93	-4.69	9.098
1992.625	-1.98	-4.62	9.135
