# Synchronization of the Byrd and Greenland (GISP2/GRIP) Records
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2450
#
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/grip/synchronization/readme_blunier2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2001
# --------------------
# Title 
#	Study_Name: Synchronization of the Byrd and Greenland (GISP2/GRIP) Records 
# --------------------
# Investigators
#	Investigators: Blunier, T.; Brook, E.J. 
# --------------------
# Description_and_Notes
# 	Description: The data archived here were used for Figure 1 of Blunier and Brook, 
#	Timing of millennial-scale climate change in Antarctica and Greenland 
#	during the last glacial period, Science, 291, 109-112, 2001. 
#	This paper should be cited when referring to the synchronized Byrd 
#	time scale and the Byrd methane data for the time period >50 ka.
#
# --------------------
# Publication
#	Authors: T. Blunier, E.J. Brook
#	Published_Date_or_Year: 2001
#	Published_Title: Timing of millennial-scale climate change in Antarctica and Greenland during the last glacial period
#	Journal_Name: Science
#	Volume: 291			
#	Edition: 	
#	Issue: 
#	Pages: 109-112
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A precise relative chronology for Greenland and West Antarctic paleotemperature is extended to 90,000 years ago, based on correlation of atmospheric methane records from the Greenland Ice Sheet Project 2 and Byrd ice cores. Over this period, the onset of seven major millennial-scale warmings in Antarctica preceded the onset of Greenland warmings by 1500 to 3000 years. In general, Antarctic temperatures increased gradually while Greenland temperatures were decreasing or constant, and the termination of Antarctic warming was apparently coincident with the onset of rapid warming in Greenland. This pattern provides further evidence for the operation of a “bipolar see-saw” in air temperatures and an oceanic teleconnection between the hemispheres on millennial time scales.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Byrd
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: 80
#	Southernmost_Latitude: 80
#	Easternmost_Longitude: 119.5
#	Westernmost_Longitude: 119.5
#	Elevation: 1530m
# --------------------
# Data_Collection
#	Collection_Name: 01Byrd01
#	Earliest_Year: 10000
#	Most_Recent_Year: 49940
#	Time Unit: years before 1950
#
# --------------------
# Variables
#	
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_yb1950	Age,,,years before 1950,,,,,N
##d18O		d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age_yb1950	d18O
34063	-40.3
34140	-40
34220	-40.7
34300	-40.8
34379	-40.7
34455	-40.5
34533	-40.9
34622	-40.9
34719	-40.8
34801	-40.6
34882	-40.7
34949	-40.5
35020	-40.9
35093	-40.3
35166	-39.9
35240	-40
35293	-39.9
35358	-39.3
35442	-38.7
35531	-39.5
35610	-39.9
35680	-39.6
35743	-40.1
35802	-40.2
35862	-40.4
35923	-39.9
35981	-39.7
36037	-40
36104	-40.1
36179	-40.8
36247	-40.8
36317	-40.7
36388	-40.3
36460	-40.4
36542	-40.5
36622	-40.3
36694	-39.6
36769	-40
36849	-40
36923	-40
36989	-40.1
37065	-40.1
37142	-40.2
37230	-40.3
37316	-40
37403	-40.2
37489	-39.5
37573	-39.4
37675	-39.3
37795	-39.6
37909	-39.3
38038	-39.1
38156	-38.9
38263	-39.1
38344	-38.7
38405	-38.7
38474	-38.3
38544	-38.2
38620	-38.4
38699	-38.9
38770	-38.9
38840	-38.8
38903	-38.9
38962	-39.1
39020	-38.9
39091	-38.9
39163	-38.9
39239	-38.8
39315	-39.1
39386	-39.5
39455	-39.1
39520	-39.1
39568	-39
39615	-39.1
39663	-39.7
39723	-39
39789	-39.5
39854	-39.7
39902	-40.4
39951	-39.9
39999	-40
40060	-40.4
40122	-40.6
40179	-40.3
40234	-40.6
40286	-40.9
40335	-40.8
40383	-40.9
40428	-39.9
40472	-40.6
40508	-40.8
40545	-40.1
40578	-40.7
40610	-40.3
40641	-40.3
40673	-40.2
40706	-40.4
40739	-40.8
40787	-40.2
40839	-40.5
40899	-40.8
40952	-40.2
41003	-40.2
41050	-40
41095	-40
41130	-40
41164	-39.6
41205	-39.5
41253	-39.4
41323	-39.4
41392	-40
41463	-40.1
41525	-39.8
41579	-39.9
41679	-40.2
41835	-40.1
42001	-40.2
42194	-39
42373	-39.6
42511	-39.6
42628	-39.3
42755	-39.8
42882	-39.4
43010	-39.4
43130	-40.5
43257	-40.5
43429	-40.8
43596	-40.7
43777	-40.8
43962	-39.9
44139	-39.5
44302	-40.6
44428	-40.7
44537	-40.8
44648	-40
44738	-39.8
44823	-40
44913	-40
45006	-39.6
45098	-39.3
45192	-38.7
45284	-38.5
45363	-38.7
45419	-38.3
45482	-38.1
45576	-37.8
45691	-37.9
45829	-37.8
45966	-38.5
46103	-38.5
46239	-38.9
46372	-38.5
46506	-39.2
46642	-38.6
46783	-39.2
46918	-39.2
47048	-39.5
47178	-39.5
47306	-39.9
47433	-39.8
47560	-40
47686	-40.2
47812	-40
47936	-39.9
48060	-39.6
48183	-39.8
48305	-40.1
48426	-40.4
48546	-41
48666	-40.7
48786	-40.4
48905	-40.2
49023	-40.3
49140	-39.9
49255	-40.1
49370	-39.9
49485	-40.2
49599	-39.9
49714	-40.4
49827	-39.9
49940	-39.5
