# Lombok Strait, Indonesia Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1903
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/bali2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date:  2004-12
#--------------------
# Title
#	Study_Name: Bali Coral Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Charles, C.D.; Cobb, K.M.; Moore, M.D.; Fairbanks, R.G.
#--------------------
# Description_and_Notes
#	Description: Records of past climate and ocean environment derived from stable isotope, trace metal, and other measurements made on corals and sclerosponges. Parameter keywords describe what was measured in this data set. Additional summary information can be found in the abstracts of papers listed in the data set citations. 
#--------------------
# Publication 
#       Authors: Charles, C.D.; Cobb, K.M.; Moore, M.D.; Fairbanks, R.G.
#       Published_Date_or_Year: 2003-06-19
#       Published_Title: Monsoon-tropical ocean interaction in a network of coral records spanning the 20th century.
#       Journal_Name: Marine Geology
#       Volume: 201
#       Edition: 
#       Issue: Issues 1–3
#       Pages: 207-222
#       DOI:  10.1016/S0025-3227(03)00217-2
#       Online_Resource: 
#       Full_Citation: Charles, C.D., K. Cobb, M.D. Moore, and R.G. Fairbanks. 2003. Monsoon-tropical ocean interaction in a network of coral records spanning the 20th century. Marine Geology, v. 201, pp. 207-222.
#       Abstract: The 20th century evolution of basin-wide gradients in surface ocean properties provides one essential test for recent models of the interaction between the Asian monsoon and the tropical ocean, because various feedback mechanisms should result in characteristic regional patterns of variability. Although the instrumental record of climate variability in the tropics is essentially limited to the last few decades, the stable isotopic composition of living corals provides an effective means for extending the instrumental observations. Here we present two coral isotopic records from the Indonesian Maritime Continent, and we use these records with other previously published records to describe: (i) the relationship between western Pacific and central Pacific climate variability over the past century, with special emphasis on the biennial band; and (ii) the strength of the west-east 'Indian Ocean Dipole'. We find that the amplitude of the biennial cycle in the Pacific did not vary inversely with the strength of ENSO (El Nino Southern Oscillation), as might be expected from some models of monsoonal feedback on the central Pacific. Instead, the biennial variability was modulated on decadal timescales throughout much of the Pacific. We also show that the zonal oxygen isotopic gradient in the Indian Ocean coral records was significantly correlated with central Pacific sea surface temperature on a variety of timescales. Thus, it is likely that this 'coral dipole' was a product of strong ENSO-like teleconnections over the Indian Ocean, as opposed to being the result of unique Indian Ocean or monsoonal dynamics.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Lombok Strait, Bali, Indonesia
#       Location: Ocean>Indian Ocean>Indonesia
#	Country: Indonesia 
#	Northernmost_Latitude: -8.25 
# 	Southernmost_Latitude: -8.25 
# 	Easternmost_Longitude: 115.50
# 	Westernmost_Longitude: 115.50 
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 03indo01a
#	Earliest_Year: 1782
#	Most_Recent_Year: 1990
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
##d18O_sa	seasonally averaged delta 18 Oxygen, Porites sp., , permil VPDB, , Corals and Sclerosponges, average: seasonal, ,N
##d18O_anom	delta 18 oxygen anomaly, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	d18O_sa	d18O_anom
1797.92	-5.3540	-5.2282	-0.12580
1798.00	-5.2700	-5.2521	-0.01789
1798.08	-5.0390	-5.1031	0.06406
1798.17	-4.9270	-4.9667	0.03969
1798.25	-4.9590	-4.8574	-0.10160
1798.33	-5.0580	-4.7997	-0.25827
1798.42	-5.0310	-4.7875	-0.24352
1798.50	-4.9620	-4.8316	-0.13043
1798.58	-5.0401	-4.9078	-0.13225
1798.67	-4.9450	-4.9913	0.04626
1798.75	-4.9900	-5.0856	0.09564
1798.83	-5.1970	-5.1759	-0.02111
1798.92	-5.2450	-5.2282	-0.01680
1799.00	-5.2060	-5.2521	0.04611
1799.08	-4.9780	-5.1031	0.12506
1799.17	-5.1470	-4.9667	-0.18031
1799.25	-4.9370	-4.8574	-0.07960
1799.33	-4.9130	-4.7997	-0.11327
1799.42	-4.9680	-4.7875	-0.18052
1799.50	-4.9470	-4.8316	-0.11543
1799.58	-4.8561	-4.9078	0.05175
1799.67	-4.8620	-4.9913	0.12926
1799.75	-5.0200	-5.0856	0.06564
1799.83	-5.0730	-5.1759	0.10289
1799.92	-5.2670	-5.2282	-0.03880
1800.00	-5.2090	-5.2521	0.04311
1800.08	-5.2370	-5.1031	-0.13394
1800.17	-4.9530	-4.9667	0.01369
1800.25	-4.8290	-4.8574	0.02840
1800.33	-4.8440	-4.7997	-0.04427
1800.42	-4.7190	-4.7875	0.06848
1800.50	-4.7830	-4.8316	0.04857
1800.58	-4.9211	-4.9078	-0.01325
1800.67	-4.8900	-4.9913	0.10126
1800.75	-5.0290	-5.0856	0.05664
1800.83	-5.2190	-5.1759	-0.04311
1800.92	-5.1380	-5.2282	0.09020
1801.00	-5.3010	-5.2521	-0.04889
1801.08	-5.1000	-5.1031	0.00306
1801.17	-4.8990	-4.9667	0.06769
1801.25	-4.8730	-4.8574	-0.01560
1801.33	-4.9130	-4.7997	-0.11327
1801.42	-4.9030	-4.7875	-0.11552
1801.50	-4.9480	-4.8316	-0.11643
1801.58	-5.0191	-4.9078	-0.11125
1801.67	-5.0000	-4.9913	-0.00874
1801.75	-5.1310	-5.0856	-0.04537
1801.83	-5.3590	-5.1759	-0.18311
1801.92	-5.3000	-5.2282	-0.07180
1802.00	-5.3640	-5.2521	-0.11189
1802.08	-5.1860	-5.1031	-0.08294
1802.17	-5.0560	-4.9667	-0.08931
1802.25	-4.9080	-4.8574	-0.05060
1802.33	-4.8850	-4.7997	-0.08527
1802.42	-4.9010	-4.7875	-0.11352
1802.50	-4.9570	-4.8316	-0.12543
1802.58	-5.0241	-4.9078	-0.11625
1802.67	-4.9600	-4.9913	0.03126
1802.75	-4.9400	-5.0856	0.14563
1802.83	-5.4020	-5.1759	-0.22611
1802.92	-5.3720	-5.2282	-0.14380
1803.00	-5.2420	-5.2521	0.01011
1803.08	-5.1700	-5.1031	-0.06694
1803.17	-5.0460	-4.9667	-0.07931
1803.25	-5.0120	-4.8574	-0.15460
1803.33	-5.0190	-4.7997	-0.21927
1803.42	-5.1120	-4.7875	-0.32452
1803.50	-5.0480	-4.8316	-0.21643
1803.58	-5.0561	-4.9078	-0.14825
1803.67	-5.0960	-4.9913	-0.10474
1803.75	-5.1220	-5.0856	-0.03637
1803.83	-5.2890	-5.1759	-0.11311
1803.92	-5.3590	-5.2282	-0.13080
1804.00	-5.2390	-5.2521	0.01311
1804.08	-5.1840	-5.1031	-0.08094
1804.17	-5.1900	-4.9667	-0.22331
1804.25	-4.9500	-4.8574	-0.09260
1804.33	-4.8200	-4.7997	-0.02027
1804.42	-4.7020	-4.7875	0.08548
1804.50	-4.8350	-4.8316	-0.00343
1804.58	-4.7861	-4.9078	0.12175
1804.67	-4.8390	-4.9913	0.15226
1804.75	-5.1030	-5.0856	-0.01737
1804.83	-5.3310	-5.1759	-0.15511
1804.92	-5.3220	-5.2282	-0.09380
1805.00	-5.2400	-5.2521	0.01211
1805.08	-5.2140	-5.1031	-0.11094
1805.17	-5.0370	-4.9667	-0.07031
1805.25	-4.9850	-4.8574	-0.12760
1805.33	-5.0670	-4.7997	-0.26727
1805.42	-4.9080	-4.7875	-0.12052
1805.50	-4.9710	-4.8316	-0.13943
1805.58	-5.0121	-4.9078	-0.10425
1805.67	-5.1510	-4.9913	-0.15974
1805.75	-5.2980	-5.0856	-0.21237
1805.83	-5.3660	-5.1759	-0.19011
1805.92	-5.4280	-5.2282	-0.19980
1806.00	-5.4640	-5.2521	-0.21189
1806.08	-5.1570	-5.1031	-0.05394
1806.17	-5.3880	-4.9667	-0.42131
1806.25	-5.1080	-4.8574	-0.25060
1806.33	-5.0440	-4.7997	-0.24427
1806.42	-5.0960	-4.7875	-0.30852
1806.50	-4.8340	-4.8316	-0.00243
1806.58	-4.9141	-4.9078	-0.00625
1806.67	-5.0950	-4.9913	-0.10374
1806.75	-5.2320	-5.0856	-0.14637
1806.83	-5.2620	-5.1759	-0.08611
1806.92	-5.3900	-5.2282	-0.16180
1807.00	-5.3230	-5.2521	-0.07089
1807.08	-5.3120	-5.1031	-0.20894
1807.17	-5.2120	-4.9667	-0.24531
1807.25	-4.9140	-4.8574	-0.05660
1807.33	-5.2160	-4.7997	-0.41627
1807.42	-4.7880	-4.7875	-0.00052
1807.50	-4.8190	-4.8316	0.01257
1807.58	-4.7891	-4.9078	0.11875
1807.67	-4.7480	-4.9913	0.24326
1807.75	-5.0480	-5.0856	0.03764
1807.83	-5.0900	-5.1759	0.08589
1807.92	-5.3510	-5.2282	-0.12280
1808.00	-5.1330	-5.2521	0.11911
1808.08	-5.3320	-5.1031	-0.22894
1808.17	-4.9480	-4.9667	0.01869
1808.25	-4.8080	-4.8574	0.04940
1808.33	-4.6970	-4.7997	0.10273
1808.42	-4.6520	-4.7875	0.13548
1808.50	-4.8300	-4.8316	0.00157
1808.58	-5.0251	-4.9078	-0.11725
1808.67	-5.0900	-4.9913	-0.09874
1808.75	-5.1420	-5.0856	-0.05637
1808.83	-5.0110	-5.1759	0.16489
1808.92	-4.8340	-5.2282	0.39420
1809.00	-5.0080	-5.2521	0.24411
1809.08	-4.8100	-5.1031	0.29306
1809.17	-4.7790	-4.9667	0.18769
1809.25	-4.7640	-4.8574	0.09340
1809.33	-4.6120	-4.7997	0.18773
1809.42	-4.6870	-4.7875	0.10048
1809.50	-4.8000	-4.8316	0.03157
1809.58	-4.9061	-4.9078	0.00175
1809.67	-4.9590	-4.9913	0.03226
1809.75	-5.1100	-5.0856	-0.02437
1809.83	-5.1630	-5.1759	0.01289
