# Rarotonga Sr/Ca and SST Reconstruction Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1860
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/rarotonga_sr-ca.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2000-11
#--------------------
# Title
#	Study_Name: Rarotonga Sr/Ca and SST Reconstruction Data
#--------------------
# Investigators
#       Investigators: Linsley, B.K.; Wellington G.M.; Schrag D.P.
#--------------------
# Description_and_Notes
#	Description: A 271 year record of Sr/Ca variability in a coral from Rarotonga in the South Pacific gyre.  Calibration with monthly sea surface temperature (SST) from satellite and ship measurements  made in grid measuring 1� by 1� over the period from 1981 to 1997 indicates that this  Sr/Ca record is an excellent proxy for SST. Comparison with SST from ship  measurements made since 1950 in a grid measuring 5� by 5� also shows that the  Sr/Ca data accurately record decadal changes in SST. The entire Sr/Ca record back to  1726 shows a distinct pattern of decadal variability with repeated decadal and  interdecadal SST regime shifts greater than 0.75�C. Comparison with decadal  climate variability in the North Pacific as represented by the Pacific Decadal  Oscillation index (1900-1997) indicates that several of the largest decadal-scale  SST variations at Rarotonga are coherent with SST regime shifts in the North Pacific.  This hemispheric symmetry suggests that tropical forcing may be an important  factor in at least some of the decadal variability observed in the Pacific Ocean.
#--------------------
# Publication 
#       Authors: Linsley, B.K.; Wellington G.M.; Schrag D.P.
#       Published_Date_or_Year: 2000
#       Published_Title: Decadal sea surface temperature variability in the sub-tropical south Pacific
#       Journal_Name: Science
#       Volume: 290
#       Edition: 
#       Issue: 
#       Pages: 1145-1148
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Linsley, B.K., G.M. Wellington, and D.P. Schrag, 2000, Decadal Sea Surface Temperature Variability  in the Sub-Tropical South Pacific from 1726 to 1997 A.D.,   Science v.290, pp1145-1148, 10 Nov 2000.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation (USA)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Oceanic and Atmospheric Administration (USA)
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Rarotonga, Cook Islands
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Cook Islands
#	Country: Cook Islands 
#	Northernmost_Latitude: -21.23 
# 	Southernmost_Latitude: -21.23 
# 	Easternmost_Longitude: -159.82 
# 	Westernmost_Longitude: -159.82 
# 	Elevation: -18 m
#------------------
# Data_Collection   
#	Collection_Name: 00cook01a 
#	Earliest_Year: 1726
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, , ,mmol/mol, ,Corals and Sclerosponges, , analytical technique: ICP-OES,N
##sst	sea surface temperature reconstruction, Porites sp., ,degrees C, , Corals and Sclerosponges, , ,N
##sst_av_fil_at_8y	sea surface temperature reconstruction, Porites sp., ,degrees C, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	Sr/Ca	sst	sst_av_fil_at_8y
1746.42	9.22	28.51	1.71
1746.5	9.23	28.37	1.71
1746.59	9.31	27.39	1.72
1746.67	9.38	26.6	1.72
1746.75	9.35	26.9	1.73
1746.84	9.33	27.23	1.74
1746.92	9.29	27.69	1.74
1747	9.24	28.31	1.75
1747.09	9.18	29.02	1.75
1747.17	9.16	29.26	1.75
1747.25	9.2	28.73	1.76
1747.34	9.27	27.95	1.76
1747.42	9.31	27.38	1.76
1747.5	9.36	26.88	1.76
1747.59	9.43	26.02	1.76
1747.67	9.38	26.58	1.76
1747.75	9.3	27.55	1.76
1747.84	9.26	28.04	1.76
1747.92	9.23	28.46	1.76
1748	9.21	28.68	1.76
1748.09	9.18	29.05	1.76
1748.17	9.16	29.26	1.75
1748.25	9.19	28.92	1.75
1748.34	9.26	28.07	1.74
1748.42	9.36	26.83	1.74
1748.5	9.34	27.08	1.74
1748.59	9.36	26.89	1.73
1748.67	9.4	26.34	1.73
1748.75	9.39	26.51	1.72
1748.84	9.35	26.93	1.71
1748.92	9.3	27.55	1.71
1749	9.27	27.98	1.7
1749.09	9.23	28.38	1.7
1749.17	9.2	28.77	1.69
1749.25	9.22	28.55	1.69
1749.34	9.25	28.11	1.68
1749.42	9.28	27.76	1.68
1749.5	9.32	27.33	1.67
1749.59	9.36	26.81	1.67
1749.67	9.4	26.38	1.67
1749.75	9.41	26.28	1.66
1749.84	9.4	26.39	1.66
1749.92	9.38	26.54	1.66
1750	9.37	26.73	1.66
1750.09	9.35	26.92	1.66
1750.17	9.25	28.16	1.66
1750.25	9.31	27.47	1.66
1750.34	9.36	26.84	1.66
1750.42	9.35	26.95	1.66
1750.5	9.34	27.07	1.66
1750.59	9.35	27.01	1.66
1750.67	9.35	26.95	1.66
1750.75	9.32	27.33	1.66
1750.84	9.29	27.69	1.67
1750.92	9.27	27.87	1.67
1751	9.26	28.06	1.67
1751.09	9.23	28.41	1.67
1751.17	9.2	28.77	1.68
1751.25	9.21	28.66	1.68
1751.34	9.23	28.44	1.68
1751.42	9.27	27.93	1.68
1751.5	9.31	27.46	1.68
1751.59	9.35	26.93	1.69
1751.67	9.37	26.7	1.69
1751.75	9.36	26.88	1.69
1751.84	9.33	27.17	1.69
1751.92	9.31	27.43	1.69
1752	9.28	27.85	1.69
1752.09	9.23	28.45	1.69
1752.17	9.18	29.01	1.69
1752.25	9.2	28.77	1.69
1752.34	9.25	28.11	1.69
1752.42	9.3	27.61	1.69
1752.5	9.37	26.72	1.69
1752.59	9.4	26.36	1.69
1752.67	9.42	26.16	1.69
1752.75	9.39	26.52	1.69
1752.84	9.32	27.31	1.69
1752.92	9.26	28.01	1.69
1753	9.27	27.94	1.69
1753.09	9.22	28.5	1.69
1753.17	9.18	29.01	1.69
1753.25	9.25	28.1	1.69
1753.34	9.35	26.95	1.69
1753.42	9.42	26.1	1.69
1753.5	9.44	25.89	1.69
1753.59	9.4	26.32	1.69
1753.67	9.36	26.83	1.69
1753.75	9.32	27.33	1.69
1753.84	9.28	27.84	1.69
1753.92	9.25	28.22	1.68
1754	9.23	28.41	1.68
1754.09	9.23	28.43	1.68
1754.17	9.22	28.53	1.68
1754.25	9.23	28.36	1.68
1754.34	9.27	27.98	1.68
1754.42	9.31	27.43	1.67
1754.5	9.4	26.34	1.67
1754.59	9.43	26.03	1.67
1754.67	9.4	26.34	1.66
1754.75	9.39	26.51	1.66
1754.84	9.35	26.89	1.65
1754.92	9.31	27.43	1.65
1755	9.29	27.69	1.64
1755.09	9.26	28.02	1.64
1755.17	9.23	28.41	1.63
1755.25	9.18	29.01	1.63
1755.34	9.18	29.06	1.62
1755.42	9.22	28.51	1.61
1755.5	9.28	27.76	1.6
1755.59	9.34	27.07	1.59
1755.67	9.38	26.58	1.58
1755.75	9.37	26.65	1.57
1755.84	9.34	27.09	1.55
1755.92	9.29	27.73	1.54
1756	9.24	28.23	1.53
1756.09	9.21	28.69	1.51
1756.17	9.2	28.77	1.5
