# James Ross Island d18O
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: 
#
#
# Original_Source_URL: 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2015
# --------------------
# Title 
#	Study_Name: James Ross Island d18O
# --------------------
# Investigators
#	Investigators:  Mulvaney, R.; Abram, N.J.; Hindmarsh, R.C.A.; Arrowsmith, C.; Fleet, L.; Triest, J.; Sime, L.C.; Alemany, O.; Foord, S. 
# --------------------
# Description_and_Notes
# 	Description: 
#
# --------------------
# Publication
#	Authors: Robert Mulvaney, Nerilie J. Abram, Richard C.A. Hindmarsh, Carol Arrowsmith, Lousie Fleet, Jack Triest, Louise C. Sime, Oliver Alemany, and Susan Foord
#	Published_Date_or_Year: 2012-09-06
#	Published_Title: Recent Antarctic Peninsual warming relative to Holocene climate and ice-shelf history
#	Journal_Name: Nature
#	Volume: 489
#	Edition: 	
#	Issue: 141
#	Pages: 
#	DOI: 10.1038/nature11391
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Rapid warming over the past 50 years on the Antarctic Peninsula is associated with the collapse of a number of ice shelves and accelerating glacier mass loss. In contrast, warming has been comparatively modest over West Antarctica and significant changes have not been observed over most of East Antarctica,suggesting that the ice-core palaeoclimate records available from these areas may not be representative of the climate history of the Antarctic Peninsula. Here we show that the Antarctic Peninsula experienced an early-Holocene warm period followed by stable temperatures, from about 9,200 to 2,500 years ago, that were similar to modern-day levels. Our temperature estimates are based on an ice-core record of deuterium variations from James Ross Island, off the northeastern tip of the Antarctic Peninsula. We find that the late-Holocene development of ice shelves near James Ross Island was coincident with pronounced cooling from 2,500 to 600 years ago. This cooling was part of a millennial-scale climate excursion with opposing anomalies on the eastern and western sides of the Antarctic Peninsula. Although warming of the northeastern Antarctic Peninsula began around 600 years ago, the high rate of warming over the past century is unusual (but not unprecedented) in the context of natural climate variability over the past two millennia. The connection shown here between past temperature and ice-shelf stability suggests that warming for several centuries rendered ice shelves on the northeastern Antarctic Peninsula vulnerable to collapse. Continued warming to temperatures that now exceed the stable conditions of most of the Holocene epoch is likely to cause ice-shelf instability to encroach farther southward along the Antarctic Peninsula. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: Natural Environment Research Council
#	Grant:
# --------------------
# Site_Information
#	Site_Name: James Ross Island
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -64.21667
#	Southernmost_Latitude: -64.21667
#	Easternmost_Longitude: -57.633
#	Westernmost_Longitude: -57.633
#	Elevation: 1542 m
# --------------------
# Data_Collection
#	Collection_Name: 07JaRo01
#	Earliest_Year: 0
#	Most_Recent_Year: 2007
#	Time_Unit: y_ad
#	Notes: {"database":"LMR_FM"}{"database":"PAGES1"}{"database":"PAGES2"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age,,,years AD,,,,,N
##delD	delta deuterium,,,permil SMOW,,Ice Cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	delD
1549	-139.3
1548	-160.4
1547	-174.5
1546	-174.5
1545	-153.3
1544	-144
1543	-151.2
1542	-147.8
1541	-163.1
1540	-151.6
1539	-144.9
1538	-167.3
1537	-156.6
1536	-145.8
1535	-165.8
1534	-156.1
1533	-145.5
1532	-153.8
1531	-142.6
1530	-149.6
1529	-150.7
1528	-146.6
1527	-139.2
1526	-157.2
1525	-168.5
1524	-152.1
1523	-164
1522	-151.8
1521	-159.9
1520	-151.3
1519	-142.9
1518	-156.3
1517	-147.6
1516	-150.1
1515	-148.7
1514	-155.1
1513	-162.9
1512	-170.8
1511	-149.5
1510	-142.3
1509	-148.1
1508	-155
1507	-158.1
1506	-163.5
1505	-144.7
1504	-148
1503	-149.2
1502	-137.3
1501	-147.8
1500	-160.5
1499	-147.2
1498	-142.5
1497	-139.4
1496	-160.5
1495	-163.3
1494	-163.4
1493	-157.6
1492	-145.4
1491	-160.9
1490	-157.4
1489	-157.3
1488	-155.1
1487	-140.9
1486	-158.4
1485	-139.9
1484	-154.8
1483	-135.6
1482	-143.8
1481	-148.8
1480	-144.2
1479	-147.6
1478	-165.1
1477	-165.6
1476	-173.8
1475	-149.1
1474	-137.1
1473	-149.6
1472	-159.4
1471	-138.7
1470	-147.8
1469	-154.9
1468	-137.2
1467	-152.9
1466	-168.5
1465	-136.8
1464	-137.5
1463	-146.7
1462	-153.6
1461	-146.9
1460	-147.4
1459	-139.8
1458	-148.7
1457	-150.8
1456	-147.7
1455	-146.7
1454	-160.5
1453	-162.6
1452	-154.9
1451	-152.5
1450	-155.3
1449	-163.4
1448	-158.5
1447	-160.9
1446	-160.1
1445	-151.4
1444	-152.8
1443	-158.5
1442	-155.3
1441	-145.3
1440	-148.2
1439	-152.5
1438	-141.7
1437	-135.7
1436	-140
1435	-145
1434	-154.1
1433	-163.2
1432	-154.3
1431	-158.8
1430	-159.8
1429	-163.5
1428	-153.7
1427	-151.7
1426	-148.1
1425	-151.4
1424	-163.5
1423	-180.1
1422	-165.7
1421	-140.6
1420	-164.3
1419	-182.6
1418	-146.9
1417	-153.1
1416	-127.7
1415	-150.1
1414	-144.5
1413	-149.2
1412	-156.6
1411	-164.5
1410	-156.8
1409	-160.4
1408	-173.3
1407	-161
1406	-152.3
1405	-153.1
1404	-149.1
1403	-139
1402	-140.9
1401	-151
1400	-150.1
1399	-145.8
1398	-150.3
1397	-151.6
1396	-144
1395	-151
1394	-161.9
1393	-157.3
1392	-158.1
1391	-148.3
1390	-165.1
1389	-130.1
1388	-155.2
1387	-148.1
1386	-164
1385	-160.9
1384	-146.6
1383	-150.2
1382	-165
1381	-154.2
1380	-172.8
1379	-172
1378	-157.8
1377	-154.3
1376	-149.9
1375	-162.4
1374	-154
1373	-154.7
1372	-159.4
1371	-159.4
1370	-156.7
1369	-150.7
1368	-163.6
1367	-150.1
1366	-166.9
1365	-147.4
1364	-149.3
1363	-130.7
1362	-158.4
1361	-157.8
1360	-155.6
1359	-158.3
1358	-154.9
1357	-143.8
1356	-149.9
1355	-151.9
1354	-151.5
1353	-158.4
1352	-149.5
1351	-156.5
1350	-144.7
1349	-152.3
1348	-139.3
1347	-152
1346	-157.5
1345	-142.9
1344	-142.7
1343	-140.4
1342	-143.9
1341	-150.7
1340	-156.2
1339	-154.7
1338	-144.5
1337	-159.8
1336	-153.5
1335	-146.1
1334	-138.6
1333	-143.2
1332	-148.6
1331	-154.5
1330	-161.4
1329	-169.6
1328	-158.1
1327	-144.5
1326	-151.7
1325	-166.3
1324	-152.3
1323	-143
1322	-169.5
1321	-136.9
1320	-135.6
1319	-148.8
1318	-161.8
1317	-141.8
1316	-131.1
1315	-131
1314	-151.9
1313	-138.1
1312	-154.8
1311	-149.5
1310	-171.6
1309	-151.2
1308	-163.2
1307	-153.8
1306	-131.1
1305	-150.2
1304	-165.2
1303	-145
1302	-156.9
1301	-148.8
1300	-168.1
1299	-158.4
1298	-144.2
1297	-150.7
1296	-156.1
1295	-132.5
1294	-138.9
1293	-138.8
1292	-139.2
1291	-159.8
1290	-155.95
1289	-152.1
1288	-155.7
1287	-159.6
1286	-157.1
1285	-155.5
1284	-151.7
1283	-157
1282	-170.2
1281	-153.2
1280	-154.3
1279	-142.4
1278	-130.3
1277	-155.5
1276	-147.4
1275	-138.6
1274	-137.2
1273	-147.7
1272	-158.7
1271	-155.6
1270	-153.5
1269	-153
1268	-150.7
1267	-145.9
1266	-151.8
1265	-161.8
1264	-140.9
1263	-163
1262	-148.8
1261	-154.5
1260	-149.7
1259	-154.9
1258	-162.6
1257	-150.2
1256	-147.4
1255	-143.5
1254	-142.3
1253	-144.6
1252	-135.8
1251	-137.1
1250	-152.9
1249	-147.2
1248	-160.6
1247	-163.6
1246	-155.3
1245	-147.6
1244	-151.5
1243	-154
1242	-142.8
1241	-147.1
1240	-148.7
1239	-152.9
1238	-146.9
1237	-157.5
1236	-153
1235	-162.2
1234	-148.8
1233	-162.3
1232	-142.6
1231	-156.8
1230	-153.2
1229	-147.5
1228	-155.8
1227	-167
1226	-153.3
1225	-155.1
1224	-147.8
1223	-141.9
1222	-153.5
1221	-147.5
1220	-153.3
1219	-164.9
1218	-163.6
1217	-151
1216	-152.9
1215	-144.9
1214	-149.1
1213	-154.9
1212	-147
1211	-144.5
1210	-156.9
1209	-155.2
1208	-147.3
1207	-144.9
1206	-166.1
1205	-153.6
1204	-149
1203	-153.9
1202	-169.3
1201	-160.1
1200	-142.9
1199	-149.6
1198	-154.4
1197	-148.6
1196	-162.3
1195	-154.1
1194	-154.9
1193	-153.8
1192	-157.4
1191	-161.5
1190	-168.7
1189	-153.6
1188	-152.8
1187	-152.5
1186	-151.6
1185	-144
1184	-149.1
1183	-157.4
1182	-165.4
1181	-157.1
1180	-153.5
1179	-156.6
1178	-149.1
1177	-149.3
1176	-156.1
1175	-157.9
1174	-145.5
1173	-151.4
1172	-151.3
1171	-150.4
1170	-146.7
1169	-157.6
1168	-154
1167	-146.1
1166	-152.1
1165	-148.9
1164	-155.2
1163	-147.6
1162	-150.9
1161	-156.8
1160	-153
1159	-160.8
1158	-162.2
1157	-147.1
1156	-163.3
1155	-154.4
1154	-159.9
1153	-153.6
1152	-147
1151	-148.8
1150	-168.5
1149	-154.2
1148	-150.3
1147	-140.4
1146	-166.9
1145	-148.7
1144	-151.7
1143	-152.5
1142	-147.8
1141	-147.5
1140	-133.7
1139	-147.5
1138	-143.1
1137	-151.9
1136	-148.8
1135	-160
1134	-155.3
1133	-159.2
1132	-161
1131	-153.1
1130	-135.2
1129	-154.4
1128	-142.6
1127	-144.9
1126	-151.2
1125	-156.8
1124	-155.3
1123	-145.8
1122	-148.7
1121	-145.1
1120	-143.7
1119	-149.9
1118	-145.5
1117	-151.6
1116	-155.1
1115	-128.6
1114	-151.4
1113	-164.1
1112	-170.1
1111	-146.3
1110	-156.6
1109	-166.9
1108	-146.8
1107	-155.7
1106	-161.7
1105	-165.7
1104	-138.9
1103	-159.4
1102	-136.5
1101	-132.9
1100	-147.4
1099	-145.5
1098	-157
1097	-150.6
1096	-151
1095	-158.05
1094	-165.1
1093	-154.2
1092	-147.2
1091	-139.9
1090	-145.8
1089	-146.8
1088	-150.4
1087	-154.9
1086	-160
1085	-165.1
1084	-147.3
1083	-152.7
1082	-140.7
1081	-143.1
1080	-142
1079	-138.6
1078	-135.2
1077	-138.3
1076	-144
1075	-157.6
1074	-158.1
1073	-158.6
1072	-162.9
1071	-157.7
1070	-164.8
1069	-159.25
1068	-153.7
1067	-163.5
1066	-142.5
1065	-146.3
1064	-150.1
1063	-158.6
1062	-165.5
1061	-163.9
1060	-162.3
1059	-157.9
1058	-152.7
1057	-147.8
1056	-142.9
1055	-146.5
1054	-153.1
1053	-155.45
1052	-157.8
1051	-163.4
1050	-156.95
1049	-150.5
1048	-142.5
1047	-144.2
1046	-147.7
1045	-151.2
1044	-155.9
1043	-148.8
1042	-153.4
1041	-158
1040	-153.6
1039	-148.1
1038	-142.6
1037	-166.8
1036	-159.1
1035	-151.4
1034	-157.7
1033	-163.7
1032	-159.15
1031	-154.6
1030	-142.6
1029	-149.45
1028	-156.3
1027	-147.7
1026	-151.5
1025	-155.3
1024	-157.1
1023	-159.25
1022	-161.4
1021	-149.7
1020	-145.85
1019	-142
1018	-152.8
1017	-158
1016	-147.55
1015	-137.1
1014	-147.6
1013	-143.1
1012	-138.6
1011	-140.4
1010	-145.4
1009	-150.4
1008	-150.3
1007	-150.2
1006	-150.4
1005	-151.75
1004	-153.1
1003	-148.6
1002	-143.6
1001	-138.6
1000	-151.6
999	-150.4
998	-149.2
997	-140.6
996	-151.9
995	-163.2
994	-163.2
993	-159.1
992	-155
991	-151.1
990	-147.2
989	-141.5
988	-144.05
987	-146.6
986	-138.9
985	-143
984	-147.1
983	-152.6
982	-158.1
981	-144.3
980	-144.85
979	-145.4
978	-144.8
977	-149.2
976	-153.6
975	-156.6
974	-159.6
973	-147.7
972	-149.15
971	-150.6
970	-161.1
969	-153.45
968	-145.8
967	-145.4
966	-145
