# Taylor Dome - del 18O Data - Low Resolution
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2417
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/taylor/lo18o_td.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 1999
#--------------------
# Title
#	Study_Name: Taylor Dome - del 18O Data - Low Resolution
#--------------------
# Investigators
#       Investigators: Grootes, P.M.; Steig, E.J.; Stuiver, M.; Waddington, E.D.; Morse, D.L
#--------------------
# Description_and_Notes
#	Description: The delta 18O values were determined at the Quaternary Isotope Laboratory (M. Stuiver, Box 351360, University of Washington, Seattle WA 98195, USA). The time scale (st9507) was estimated from a correlation of delta 18O with the Vostok delta D record (Grootes et al. 1994; Steig, 1996). Between 0-340m the samples measured were of 1m cuts taken in the field. Each 1m core section was slabbed to provide a surface for ECM measurement; a thin slice was removed uniformly along the length for isotope analysis. From 340m to the bottom, sampling was done at the National Ice Core Lab at 0.5m lengths. Note that these core sections were shipped intact to NICL; they were not processed in the field. Ice Core Laboratory.
#--------------------
# Publication 
#       Authors: P.M. Grootes, E.J. Steig, M. Stuiver, E.D. Waddington, and D.L. Morse
#       Published_Date_or_Year: 2001    
#       Published_Title: The Taylor Dome Antarctic 18O record and globally synchronous changes in climate 
#       Journal_Name: Quaternary Research
#       Volume: 56
#       Edition: 
#       Issue: 
#       Pages: 289-298
#       DOI: 10.1006/qres.2001.2276
#       Online_Resource:
#       Full_Citation: 
#       Abstract: The 18O/16O profile of a 554-m long ice core through Taylor Dome, Antarctica, shows the climate variability of the last glacial–interglacial cycle in detail and extends at least another full cycle. Taylor Dome shares the main features of the Vostok record, including the early climatic optimum with later cool phase of the last interglacial period in Antarctica. Taylor Dome δ18O fluctuations are more abrupt and larger than those at Vostok and Byrd Station, although still less pronounced than those of the Greenland GISP2 and GRIP records. The influence of the Atlantic thermohaline circulation on regional ocean heat transport explains the partly “North Atlantic” character of this Antarctic record. Under full glacial climate (marine isotope stage 4, late stage 3, and stage 2), this marine influence diminished and Taylor Dome became more like Vostok. Varying degrees of marine influence produce climate heterogeneity within Antarctica, which may account for conflicting evidence regarding the relative phasing of Northern and Southern Hemisphere climate change.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Taylor Dome
#       Location: Antarctica
#	Country:  
#	Northernmost_Latitude: -77.78
# 	Southernmost_Latitude: -77.78 
# 	Easternmost_Longitude: 158.72 
# 	Westernmost_Longitude: 158.72
# 	Elevation: 2365 m
#------------------
# Data_Collection   
#	Collection_Name: 01TayD01 
#	Earliest_Year: 212.73 
#	Most_Recent_Year: 0.0185
#	Time_Unit: yb 1950 
#	Core_Length:
#	Notes: 
#------------------
# Species
#	Species_Name: 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yb_1950	Age,,,years before 1950 ,,,,,N
##d18O	dO18,,,per mil SMOW,,ice cores,,,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
yb_1950	d18O
10.167	-38.14
10.208	-37.11
10.249	-37.48
10.291	-37.34
10.333	-37.23
10.379	-37.10
10.425	-37.60
10.477	-38.21
10.528	-38.78
10.638	-38.56
10.698	-38.15
10.757	-38.21
10.818	-37.91
10.879	-39.07
10.945	-38.40
11.010	-39.05
11.099	-38.12
11.187	-39.16
11.334	-39.25
11.481	-40.33
11.630	-39.23
11.881	-39.40
11.982	-39.17
12.062	-38.54
12.138	-39.87
12.141	-38.89
12.240	-39.55
12.338	-39.30
12.448	-39.39
12.647	-39.12
12.736	-38.78
12.819	-38.97
12.902	-38.56
13.018	-38.12
13.134	-38.00
13.302	-37.58
13.470	-38.31
13.685	-39.42
13.899	-36.97
14.114	-38.63
14.328	-38.50
14.543	-40.45
14.757	-39.37
14.972	-39.91
15.186	-39.84
15.401	-42.44
15.616	-43.49
15.830	-44.20
16.349	-44.05
16.867	-42.38
17.386	-44.07
17.905	-44.59
18.424	-44.10
18.942	-42.88
19.461	-42.85
19.980	-42.65
20.498	-41.61
21.017	-41.78
21.521	-41.89
22.025	-41.73
22.832	-43.20
23.033	-43.10
23.538	-43.55
24.042	-43.10
24.546	-42.48
25.312	-42.31
25.554	-42.48
26.335	-42.02
26.519	-42.31
26.980	-42.74
27.440	-41.59
27.901	-41.44
28.362	-41.43
28.777	-41.75
29.284	-41.45
30.205	-42.95
30.666	-41.90
31.055	-41.57
31.444	-41.61
31.832	-40.88
32.182	-41.02
32.610	-41.30
32.999	-40.77
33.388	-41.02
33.776	-41.41
34.165	-41.56
34.554	-41.59
34.850	-42.02
35.147	-41.84
35.443	-42.59
35.739	-41.92
36.036	-41.44
36.332	-41.93
36.646	-41.25
36.924	-41.21
37.221	-40.94
37.531	-40.95
37.744	-40.42
37.972	-40.95
38.199	-40.80
38.426	-40.24
38.654	-40.18
39.004	-40.27
39.108	-40.13
39.335	-40.26
39.563	-40.96
39.790	-40.06
39.987	-40.20
40.184	-40.27
40.381	-40.55
40.578	-40.60
40.775	-40.85
40.972	-40.59
41.169	-40.65
41.366	-40.55
42.109	-42.44
42.161	-41.66
42.362	-41.95
42.562	-41.63
42.763	-41.85
42.963	-41.94
43.164	-42.69
43.364	-41.71
43.565	-42.06
43.765	-42.85
43.973	-42.13
44.180	-42.24
44.388	-42.02
44.596	-41.88
44.804	-42.17
45.011	-42.44
45.219	-42.18
45.427	-41.99
45.634	-41.72
45.842	-41.04
46.052	-41.11
46.253	-41.27
46.459	-41.10
46.664	-42.21
46.870	-42.20
47.346	-42.12
47.486	-42.13
47.692	-42.12
47.897	-41.72
48.111	-41.80
48.689	-40.29
48.884	-39.93
49.167	-40.45
49.272	-40.64
49.657	-41.00
49.849	-41.95
50.023	-42.53
50.197	-41.44
50.356	-41.22
50.530	-40.93
50.714	-40.70
50.881	-39.96
51.054	-40.33
51.228	-39.84
51.401	-39.84
51.575	-39.26
51.719	-39.19
51.862	-39.08
52.006	-38.97
52.150	-38.74
52.294	-38.71
52.437	-38.97
52.581	-39.51
52.725	-39.92
52.868	-39.41
53.012	-39.47
53.117	-39.41
53.221	-39.32
53.326	-39.55
53.430	-40.42
53.547	-40.13
53.639	-41.42
53.744	-41.64
53.848	-41.34
53.953	-40.25
54.057	-40.67
54.114	-41.14
54.171	-41.17
54.228	-40.95
54.285	-40.77
54.342	-40.62
54.399	-39.93
54.456	-39.84
54.513	-40.00
54.570	-39.94
54.627	-39.88
54.659	-39.87
54.912	-40.75
54.944	-39.70
55.151	-41.68
55.220	-40.68
55.290	-39.64
55.359	-40.10
55.497	-39.65
55.567	-39.74
55.638	-39.62
55.810	-39.63
55.981	-39.43
56.153	-39.57
56.324	-39.29
56.664	-40.46
56.836	-40.53
57.007	-40.70
57.168	-41.39
57.350	-41.50
