# New Caledonia Porites Coral Paleothermometry Assessment Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1917
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2005-03
#--------------------
# Title
#	Study_Name: New Caledonia Porites Coral Paleothermometry Assessment Data
#--------------------
# Investigators
#       Investigators: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#--------------------
# Description_and_Notes
#	Description: Porites lutea cores were collected in 1992 by Fred Taylor, Jamie Austin, Yvan Join and  John Butscher.  The isotope data were analyzed at the University of South Florida  College of Marine Science, on a Finnigan Delta Plus XL mass spectrometer and attached  Kiel Carbonate Device with an analytical precision of 0.04 per mil for carbon and 0.08  per mil for oxygen (1 sigma) determined by repeated measurements of NBS 19 relative to VPDB.   The elemental data were analyzed on a Perkin Elmer Optima 4300DV ICP-OES following the  drift-correction methods of Schrag (1999).  Analytical precision (1 sigma) for the Sr/Ca  determinations is 0.2 % (0.018 mmol/mol), based on a laboratory standard solution of  dissolved Porites lutea. Depth series were converted to time series using AnalySeries  software (Paillard et al., 1996) to match Sr/Ca minima to SST maxima and vise versa.  Stable isotopic and Sr/Ca determinations on samples from Cores 99-PAA, 92-PAC and 92-PAD  were made at USF.  Stable isotopic determinations on samples from core 92-PAA made at the  University of Michigan.  Sr/Ca determinations on samples from core 92-PAA made at the  University of California-Santa Cruz. 
#--------------------
# Publication 
#       Authors: Stephans, C.; Quinn, T.M.; Taylor, F.W.; Correge, T.
#       Published_Date_or_Year: 2004     
#       Published_Title: Assessing the Reproducibility of Coral-based Climate Records.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L18210
#       Pages: 
#       DOI: 10.1029/2004GL020343
#       Online_Resource: 
#       Full_Citation: Stephans, C., T.M. Quinn, F. Taylor, and T. Correge. 2004. Assessing the Reproducibility of Coral-based Climate Records.  Geophysical Research Letters, 31,18, L18210, 10.1029/2004GL020343, 2004
#       Abstract: We perform replication tests using monthly variations in Sr/Ca and d18O in  four cores from three Porites lutea coral heads from New Caledonia to assess  the reproducibility of coral-based climate records.  Coral Sr/Ca (d18O) records  are well correlated to each other and to the instrumental SST record (1967-1992),  especially in terms of differences in the mean values of 25-year SST records  (~0.2C, Sr/Ca-SST; 0.6C, d18O-SST).  The average error associated with the  coral Sr/Ca-SST (d18O-SST) of any particular month, season or year is ~0.8C  (1.1C), 0.6C (0.8C) and 0.5C (0.6C), respectively.  "Stacking" or averaging  the individual proxy records reduces the error between observed and predicted SST,  although the reduction is small for coral Sr/Ca.  Excellent reproducibility among  the coral proxies implies that reliable climate records can be generated from a  single coral core and that coral Sr/Ca-SST records are not compromised, beyond  the errors stated herein, by non-temperature-related biological effects.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Amedee Island, New Caledonia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>New Caledonia
#	Country: New Caledonia 
#	Northernmost_Latitude: -22.48 
# 	Southernmost_Latitude: -22.48 
# 	Easternmost_Longitude: 166.47  
# 	Westernmost_Longitude: 166.47  
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 04newc03a 
#	Earliest_Year: 1967 
#	Most_Recent_Year: 1992 
#	Time_Unit: Years AD 
#	Core_Length:
#	Notes: From core 99PAA. These data have been updated by DeLong et al. 2012. Please see file: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/amedee2012.txt 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18o	delta 18 Oxygen, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N 				
##Sr/Ca	Strontium/Calcium, Porites lutea, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##d13c	delta 13 Carbon, Porites lutea, , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	d18o	Sr/Ca	d13c
1977.958	-4.46	9.098	-1.12
1978.042	-4.35	9.076	-1.01
1978.125	-4.51	9.056	-1.07
1978.208	-4.66	9.093	-1.12
1978.292	-4.59	9.125	-1.19
1978.375	-4.36	9.168	-1.35
1978.458	-4.11	9.222	-1.24
1978.542	-3.84	9.276	-1.2
1978.625	-3.72	9.31	-1.07
1978.708	-3.82	9.295	-1.1
1978.792	-4.11	9.262	-0.97
1978.875	-4.41	9.15	-1.12
1978.958	-4.49	9.126	-1.27
1979.042	-4.56	9.05	-1.18
1979.125	-4.47	9.028	-1.34
1979.208	-4.29	9.15	-1.29
1979.292	-4.15	9.195	-1.21
1979.375	-4.05	9.227	-1.22
1979.458	-3.81	9.278	-1.14
1979.542	-3.73	9.316	-1.02
1979.625	-3.67	9.336	-0.95
1979.708	-3.73	9.29	-1.03
1979.792	-3.86	9.257	-1.04
1979.875	-4.23	9.175	-1.11
1979.958	-4.61	9.008	-1.21
1980.042	-4.7	8.997	-1.19
1980.125	-4.73	8.965	-1.14
1980.208	-4.45	9.014	-1.06
1980.292	-4.25	9.177	-1.13
1980.375	-4.11	9.207	-1.01
1980.458	-4	9.243	-1.01
1980.542	-3.75	9.278	-0.87
1980.625	-3.64	9.313	-0.78
1980.708	-3.83	9.275	-0.96
1980.792	-4.06	9.197	-1.19
1980.875	-4.16	9.133	-1.32
1980.958	-4.28	9.07	-1.3
1981.042	-4.57	9.025	-1.15
1981.125	-4.67	9.01	-1.11
1981.208	-4.67	9.053	-1.24
1981.292	-4.4	9.145	-1.24
1981.375	-3.96	9.256	-0.98
1981.458	-3.75	9.302	-1.04
1981.542	-3.71	9.31	-1.06
1981.625	-3.83	9.298	-1.25
1981.708	-3.96	9.27	-1.34
1981.792	-4.11	9.219	-1.33
1981.875	-4.36	9.139	-1.52
1981.958	-4.51	9.073	-1.37
1982.042	-4.59	9.037	-1.24
1982.125	-4.63	9.037	-1.23
1982.208	-4.64	9.042	-1.2
1982.292	-4.5	9.065	-1.37
1982.375	-4.27	9.127	-1.29
1982.458	-4.03	9.219	-1.22
1982.542	-3.78	9.28	-1.21
1982.625	-3.68	9.322	-1.22
1982.708	-3.88	9.313	-1.32
1982.792	-4.04	9.276	-1.31
1982.875	-4.15	9.241	-1.27
1982.958	-4.29	9.184	-1.22
1983.042	-4.49	9.097	-1.22
1983.125	-4.61	9.038	-1.35
1983.208	-4.63	9.028	-1.25
1983.292	-4.6	9.063	-1.26
1983.375	-4.63	9.063	-1.41
1983.458	-4.23	9.128	-1.43
1983.542	-3.88	9.247	-1.04
1983.625	-3.62	9.292	-1.04
1983.708	-3.78	9.277	-1.01
1983.792	-3.92	9.238	-1.03
1983.875	-3.95	9.179	-0.95
1983.958	-4.16	9.152	-1.02
1984.042	-4.29	9.142	-1.19
1984.125	-4.49	9.138	-1.12
1984.208	-4.6	9.125	-1.01
1984.292	-4.63	9.14	-1.05
1984.375	-4.41	9.134	-1.25
1984.458	-4.02	9.194	-1.19
1984.542	-3.82	9.262	-1.25
1984.625	-3.75	9.307	-1.06
1984.708	-3.82	9.301	-1.19
1984.792	-3.96	9.262	-1.33
1984.875	-4.23	9.174	-1.37
1984.958	-4.55	9.054	-1.43
1985.042	-4.75	8.963	-1.21
1985.125	-4.77	8.958	-1.24
1985.208	-4.7	8.961	-1.46
1985.292	-4.69	8.963	-1.41
1985.375	-4.65	9.026	-1.35
1985.458	-4.31	9.093	-1.25
1985.542	-4.06	9.196	-1
1985.625	-3.72	9.306	-0.9
1985.708	-3.81	9.307	-1.06
1985.792	-4.03	9.3	-1.4
1985.875	-4.5	9.17	-1.39
1985.958	-4.78	9.001	-1.46
1986.042	-5.01	8.921	-1.58
1986.125	-5.12	8.92	-1.65
1986.208	-4.84	8.993	-1.59
1986.292	-4.71	9.097	-1.53
1986.375	-4.61	9.13	-1.5
1986.458	-4.54	9.161	-1.49
1986.542	-4.37	9.21	-1.4
1986.625	-4.26	9.26	-1.3
1986.708	-3.99	9.317	-1.1
1986.792	-4.02	9.303	-1.06
1986.875	-4.17	9.233	-1.08
1986.958	-4.3	9.178	-1.07
1987.042	-4.48	9.105	-1.19
1987.125	-4.71	9.038	-1.4
1987.208	-4.74	9.008	-1.48
1987.292	-4.64	9.011	-1.45
1987.375	-4.52	9.072	-1.36
1987.458	-4.46	9.171	-1.31
1987.542	-4.26	9.206	-1.31
1987.625	-3.98	9.256	-1.12
1987.708	-3.88	9.273	-0.95
1987.792	-3.96	9.237	-0.86
1987.875	-4.15	9.175	-0.93
1987.958	-4.26	9.121	-1.13
1988.042	-4.28	9.064	-1.36
1988.125	-4.35	9.057	-1.51
1988.208	-4.33	9.081	-1.62
1988.292	-4.49	9.096	-1.62
1988.375	-4.36	9.11	-1.63
1988.458	-4.22	9.163	-1.7
1988.542	-4.04	9.215	-1.57
1988.625	-4.03	9.244	-1.46
1988.708	-3.96	9.234	-1.42
1988.792	-4.11	9.19	-1.41
1988.875	-4.37	9.13	-1.55
1988.958	-4.62	9.094	-1.57
1989.042	-4.6	9.029	-1.48
1989.125	-4.49	9.067	-1.44
1989.208	-4.53	9.097	-1.41
1989.292	-4.57	9.144	-1.6
1989.375	-4.48	9.184	-1.66
1989.458	-4.41	9.216	-1.46
1989.542	-4.25	9.239	-1.34
1989.625	-4.21	9.283	-1.32
1989.708	-4.29	9.256	-1.37
1989.792	-4.41	9.194	-1.47
1989.875	-4.5	9.125	-1.56
1989.958	-4.58	9.07	-1.66
1990.042	-4.67	9.011	-1.72
1990.125	-4.68	8.991	-1.61
1990.208	-4.75	9.019	-1.54
1990.292	-4.74	9.045	-1.45
1990.375	-4.67	9.091	-1.52
1990.458	-4.43	9.164	-1.51
1990.542	-4.23	9.21	-1.48
1990.625	-4.19	9.225	-1.51
1990.708	-4.16	9.249	-1.55
1990.792	-4.26	9.255	-1.62
1990.875	-4.4	9.227	-1.56
1990.958	-4.5	9.174	-1.43
1991.042	-4.54	9.13	-1.46
1991.125	-4.51	9.086	-1.27
1991.208	-4.29	9.109	-1
1991.292	-4.22	9.187	-1.1
1991.375	-4.16	9.239	-1.31
1991.458	-4.12	9.248	-1.55
1991.542	-4.1	9.247	-1.55
1991.625	-4.14	9.264	-1.51
1991.708	-4.21	9.262	-1.54
1991.792	-4.19	9.248	-1.57
1991.875	-4.24	9.228	-1.6
1991.958	-4.35	9.191	-1.61
1992.042	-4.47	9.138	-1.58
1992.125	-4.46	9.093	-1.49
1992.208	-4.41	9.093	-1.32
1992.292	-4.37	9.115	-1.25
1992.375	-4.35	9.135	-1.27
1992.458	-4.43	9.167	-1.39
1992.542	-4.48	9.204	-1.5
1992.625	-4.43	9.242	-1.57
