# Synchronization of the Byrd and Greenland (GISP2/GRIP) Records
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2450
#
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/grip/synchronization/readme_blunier2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2001
# --------------------
# Title 
#	Study_Name: Synchronization of the Byrd and Greenland (GISP2/GRIP) Records 
# --------------------
# Investigators
#	Investigators: Blunier, T.; Brook, E.J. 
# --------------------
# Description_and_Notes
# 	Description: The data archived here were used for Figure 1 of Blunier and Brook, 
#	Timing of millennial-scale climate change in Antarctica and Greenland 
#	during the last glacial period, Science, 291, 109-112, 2001. 
#	This paper should be cited when referring to the synchronized Byrd 
#	time scale and the Byrd methane data for the time period >50 ka.
#
# --------------------
# Publication
#	Authors: T. Blunier, E.J. Brook
#	Published_Date_or_Year: 2001
#	Published_Title: Timing of millennial-scale climate change in Antarctica and Greenland during the last glacial period
#	Journal_Name: Science
#	Volume: 291			
#	Edition: 	
#	Issue: 
#	Pages: 109-112
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A precise relative chronology for Greenland and West Antarctic paleotemperature is extended to 90,000 years ago, based on correlation of atmospheric methane records from the Greenland Ice Sheet Project 2 and Byrd ice cores. Over this period, the onset of seven major millennial-scale warmings in Antarctica preceded the onset of Greenland warmings by 1500 to 3000 years. In general, Antarctic temperatures increased gradually while Greenland temperatures were decreasing or constant, and the termination of Antarctic warming was apparently coincident with the onset of rapid warming in Greenland. This pattern provides further evidence for the operation of a “bipolar see-saw” in air temperatures and an oceanic teleconnection between the hemispheres on millennial time scales.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: GISP
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 72.1
#	Southernmost_Latitude: 72.1
#	Easternmost_Longitude: -38.08
#	Westernmost_Longitude: -38.08
#	Elevation: 3000 m
# --------------------
# Data_Collection
#	Collection_Name: 01GISP01
#	Earliest_Year: 89776
#	Most_Recent_Year: 10014.2
#	Time Unit: years before 1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_yb1950	Age,,,years before 1950,,,,,N
##d18O	d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age_yb1950	d18O
43203	-39.63
43305	-39.16
43413	-40.21
43532	-39.93
43649	-39.94
43770	-39.64
43887	-39.1
44003	-39.55
44111	-38.88
44210	-38.8
44299	-38.16
44393	-37.96
44492	-38.2
44583	-38.13
44676	-38.4
44761	-37.69
44850	-37.52
44941	-37.27
45028	-37.27
45107	-36.81
45197	-36.91
45283	-36.79
45360	-38.85
45462	-40.93
45585	-41
45721	-40.28
45859	-40.85
46024	-40.55
46194	-41.19
46363	-40.68
46531	-39.55
46664	-39.62
46788	-38.97
46911	-38.44
47026	-39.33
47146	-38.83
47245	-40.74
47391	-39.48
47529	-39.4
47649	-39.77
47767	-39.44
47892	-39.73
48021	-39.38
48151	-39.2
48279	-39.05
48400	-39.46
48532	-39.43
48671	-39.25
48795	-38.83
48926	-38.91
49057	-39.27
49190	-38.24
49320	-38.85
49432	-38.26
49541	-38.3
49652	-38.05
49768	-38.11
49884	-38
50002	-38.07
50307.5	-37.93
50470	-37.28
50632.6	-37.59
50795.1	-37.77
50957.7	-37.76
51120.2	-37.14
51282.8	-37.11
51445.3	-37.37
51607.9	-36.79
51770.4	-37.43
51933	-37.22
52134.7	-39.2
52336.4	-40.33
52538.1	-40.29
52739.8	-38.07
52941.5	-40.48
53219.3	-38.29
53497.2	-37.8
53775.1	-39.32
54052.9	-40.28
54330.8	-40.17
54584	-39.12
54837.3	-38.63
55090.5	-39.16
55343.8	-38.85
55597	-38.6
55810.6	-38.53
56024.2	-38.09
56237.8	-37.39
56451.4	-37.68
56665	-38.72
56883.6	-39.74
57102.2	-39.21
57320.8	-38.01
57539.4	-37.27
57758	-38.42
57998.8	-38.69
58239.6	-39.23
58480.4	-41.22
58721.2	-41.06
58962	-40.47
59219	-41.16
59476	-40.92
59733	-41.01
59990	-41.22
60247	-41.23
60524.4	-42.06
60801.8	-41.68
61079.2	-41.45
61356.6	-41.01
61634	-39.86
61869.8	-38.39
62105.6	-41.56
62341.4	-41.01
62577.2	-41.37
62813	-41.67
63066.4	-41.84
63319.8	-40.92
63573.2	-41.38
63826.6	-41.12
64080	-41.87
64411.2	-42.3
64742.4	-42.08
65073.6	-41.67
65404.8	-40.94
65736	-39.97
66022.2	-42.46
66308.4	-41.33
66594.6	-40.27
66880.8	-38.54
67167	-38.22
67421	-37.88
67675	-37.69
67929	-37.33
68183	-36.86
68437	-36.45
68747.2	-41.72
69057.4	-42.58
69367.6	-43.26
69677.8	-42.37
69988	-39.48
70304.2	-39.26
70620.4	-38.57
70936.6	-38.43
71252.8	-38.19
71569	-38.01
71872	-37.67
72175	-37.61
72478	-36.83
72750.7	-36.64
73023.3	-40.8
73296	-41.91
73623.3	-42.05
73950.7	-39.86
74278	-38.89
74598.3	-39.51
74918.7	-38.97
75239	-38.22
75564	-38.22
75889	-38.85
76214	-38.72
76521	-38.48
76828	-38.58
77135	-37.95
77438.3	-38.04
77741.7	-37.99
78045	-37.65
78372.8	-37.51
78700.5	-37.33
79028.3	-37.15
79356	-37.29
79726.7	-37.26
