# EPICA Dome C Ice Core Cl, Na and NO3 Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2484
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc-na-cl-no3.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2005
# --------------------
# Title 
#	Study_Name: EPICA Dome C Ice Core Cl, Na and NO3 Data
# --------------------
# Investigators
#	Investigators:  Röthlisberger, R.; Hutterli, M.A.; Sommer, S.; Wolff, E.W.; Mulvaney, R. 
# --------------------
# Description_and_Notes
# 	Description: Chemical records obtained by continuous flow analysis (CFA) and ion chromatography (IC).  
#	Data from 0 to 44850 yr BP are from EDC96 ice core 
# 
#	Dating according to EPICA Dome C ice core timescale EDC1. 
#	ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 
#
#	Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl
#	
# --------------------
# Publication
#	Authors: R. Rothlisberger, M.A. Hutterli, S. Sommer, E.W. Wolff, and R. Mulvaney
#	Published_Date_or_Year: 2000
#	Published_Title: Factors controlling nitrate in ice cores: Evidence from the Dome C deep ice core
#	Journal_Name: Nature
#	Volume: 105			
#	Edition: 	
#	Issue: D16
#	Pages: 20565-20572
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: In order to estimate past changes in atmospheric NOx concentration, nitrate, an oxidation product of NOx, has often been measured in polar ice cores. In the frame of the European Project for Ice Coring in Antarctica (EPICA), a high-resolution nitrate record was obtained by continuous flow analysis (CFA) of a new deep ice core drilled at Dome C. This record allows a detailed comparison of nitrate with other chemical trace substances in polar snow under different climatic regimes. Previous studies showed that it would be difficult to make firm conclusions about atmospheric NOx concentrations based on ice core nitrate without a better understanding of the factors controlling NO3- deposition and preservation. At Dome C, initially high nitrate concentrations (over 500 ppb) decrease within the top meter to steady low values around 15 ppb that are maintained throughout the Holocene ice. Much higher concentrations (averaging 53 ppb) are found in ice from the Last Glacial Maximum (LGM). Combining this information with data from previous sampling elsewhere in Antarctica, it seems that under climatic conditions of the Holocene, temperature and accumulation rate are the key factors determining the NO3- concentration in the ice. Furthermore, ice layers with high acidity show a depletion of NO3-, but higher concentrations are found before and after the acidity layer, indicating that NO3- has been redistributed after deposition. Under glacial conditions, where NO3- shows a higher concentration level and also a larger variability, non-sea-salt calcium seems to act as a stabilizer, preventing volatilization of NO3- from the surface snow layers.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: EPICA Dome C
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -74.65 
#	Southernmost_Latitude: -74.65
#	Easternmost_Longitude: 124.17
#	Westernmost_Longitude: 124.17
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 00Epic01
#	Earliest_Year: 44799
#	Most_Recent_Year: 38.1
#	Time Unit: yb 1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##yb_1950	Age,,,years before 1950,,,,,N ****age before 1950
##delD		del D,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
yb_1950	delD
7052.2	-400.5
7074.1	-400.8
7096	-396.1
7118	-405.3
7140	-411.9
7162	-401.7
7182.9	-399.3
7203.4	-404.7
7222.8	-403.1
7242.2	-402.3
7261.5	-396.1
7280.8	-388.3
7300	-398.5
7319.3	-406.3
7338.5	-399.9
7357.7	-404.7
7376.9	-403.8
7395.9	-395
7414.8	-402.8
7433.6	-404.2
7452.3	-399.1
7470.9	-393.3
7489.4	-399.1
7507.8	-389.2
7526.2	-397.7
7544.5	-388.4
7562.9	-400.3
7581.3	-403.7
7599.7	-398.3
7618.1	-396.1
7636.6	-390.7
7655	-404.7
7673.5	-400.2
7692.1	-388.5
7710.7	-390.4
7729.3	-405.5
7748	-399.5
7766.7	-402.1
7785.5	-402.2
7804.4	-395.2
7823.3	-391.6
7842.4	-396.5
7861.7	-399.5
7881	-400.6
7900.5	-401.6
7920	-400.6
7939.7	-406.3
7959.5	-398.3
7979.4	-411.7
7999.4	-399.8
8019.4	-396.9
8039.5	-401.4
8059.5	-405.3
8079.6	-408.3
8099.6	-406.5
8119.6	-400.8
8139.5	-403.2
8159.4	-397.5
8179.2	-401
8198.9	-401.5
8218.6	-400.4
8238.3	-400.3
8258	-407.3
8277.5	-403
8297	-404.2
8316.4	-401.2
8335.6	-397.2
8354.7	-396.9
8373.8	-397.8
8392.8	-409.5
8411.7	-397.1
8430.5	-390.3
8449.3	-397.5
8468.2	-401.9
8487	-392.4
8505.9	-399.9
8524.8	-399.3
8543.8	-396.7
8562.8	-402.1
8581.8	-401.8
8600.8	-397.5
8619.8	-400.2
8638.8	-395
8657.7	-404.4
8676.6	-402.1
8695.4	-397.9
8714.2	-393.4
8732.8	-397.7
8751.4	-397.4
8770	-397.4
8788.5	-399
8807.1	-391.8
8825.6	-392.7
8844.1	-401.1
8862.7	-396.1
8881.3	-397.7
8899.9	-395.6
8918.6	-398.6
8937.3	-394.9
8956	-394.9
8974.6	-407.4
8993.2	-403.4
9011.7	-392.2
9030.1	-400.4
9048.4	-391.1
9066.6	-388.5
9084.8	-394.8
9102.9	-397.7
9120.9	-401.2
9138.8	-391.9
9156.7	-393.3
9174.5	-394.3
9192.4	-395
9210.1	-392.4
9227.9	-393.5
9245.7	-390
9263.4	nan
9281.2	-388.5
9299	-394.3
9316.8	-403.6
9334.6	-393.3
9352.3	-398
9369.9	-391
9387.5	-395.8
9405	-386.4
9422.5	-391.8
9439.8	-398.2
9457	-391.6
9474.2	-393.4
9491.3	-384.4
9508.3	-391.3
9525.4	-391
9542.5	-388.3
9559.7	-391.4
9576.9	-382.9
9594.3	-387.2
9611.7	-405.5
9629.2	-391.7
9646.8	-392.1
9664.4	-400.4
9682	-386.7
9699.7	-394.5
9717.3	-389.9
9734.9	-394.7
9752.5	-396.6
9770	-388.6
9787.4	-392.9
9804.8	-395.2
9822.2	-389.1
9839.5	-388.7
9856.7	-391.8
9873.9	-388.8
9891.1	-397.7
9908.3	-390.4
9925.5	-382.1
9942.8	-387.9
9960.1	-390.6
9977.5	-393.3
9995	-388.1
10012.6	-391.6
10030.3	-396.9
10048.1	-398.7
10066	-386.6
10083.9	-390.7
10101.8	-391.2
10119.8	-389.5
10137.9	-400.9
10155.9	-388.6
10173.8	-397.9
10191.7	-393
10209.5	-394.4
10227.2	-399.4
10244.8	-388.2
10262.3	-386.8
10279.7	-383
10297.1	-387.5
10314.6	-390.1
10332.2	-377.1
10349.9	-397.4
10367.6	-390.6
10385.5	-393.2
10403.6	-395.2
10421.7	-393.7
10439.9	-392.9
10458.3	-391.4
10476.7	-384.5
10495.3	-394.4
10513.8	-394.8
10532.5	-395.8
10551.2	-396.2
10569.8	-395.4
10588.5	-391.7
10607.3	-390.9
10626	-388
10644.7	-392.6
10663.6	-397.7
10682.4	-394.3
10701.2	-391.4
10720	-387.7
10738.9	-395.2
10757.7	-400.3
10776.6	-393.3
10795.5	-390
10814.4	-390.9
10833.4	-387.4
10852.5	-389.7
10871.6	-398
10890.7	-396.1
10909.8	-392
10928.9	-397.7
10947.9	-398.9
10966.9	-394.7
10985.9	-386.8
11004.8	-385.8
11023.7	-387.9
11042.6	-390.7
11061.5	-402
11080.3	
11099.2	-390.8
11118	-394.6
11136.8	-381
11155.7	-382.1
11174.6	-399.5
11193.4	-393.5
11212.3	-398.4
11231.2	-393.4
11250	-390.9
11268.9	-386.1
11287.8	-387.8
11306.8	-383.8
11325.8	-386.9
11345	-393
11364.2	-396.6
11383.6	-394.1
11402.9	-395.5
11422.4	-395.4
11442	-389.6
11461.5	-394.8
11481.2	-388.3
11500.9	-394.8
11520.8	-387.9
11540.8	-396.1
11561.1	-391.3
11581.4	-393.6
11602.2	-387.8
11623.1	-396.1
11644.4	-403.2
11665.9	-399.4
11687.7	-400.8
11709.7	-399.4
11732	-400.9
11754.5	-399.2
11777.1	-404.9
11800.1	-404
11823.1	-398.2
11846.5	-400
11870	-399.8
11893.8	-406.2
11917.8	-403.5
11942.1	-405.5
11966.5	-414.8
11991	-406.2
12015.7	-405.8
12040.5	-410.9
12065.5	-403.7
12090.6	-400.6
12116	-409.6
12141.5	-401.2
12167.3	-413.3
12193.2	-414.3
12219.5	-408.8
12246	-417.4
12272.6	-406.8
12299.7	-404.3
12326.8	-412.4
12354.4	-412.6
12382.1	-410.9
12410.2	-420.8
12438.4	-417.2
12466.7	-418.8
12495.1	-415.6
12523.6	-418.6
12552	-410.9
12580.5	-413.7
12608.9	-412.7
12637.3	-419.3
12665.6	-420.8
12693.8	-412.1
12721.9	-416
12750	-408.8
12777.9	-413.9
12805.8	-416.4
12833.7	-417.7
12861.5	-414.9
12889.2	-410.4
12916.8	-411.6
12944.3	-415
12971.8	-418.4
12999.2	-415.5
13026.4	-412.9
13053.6	-408
13080.8	-410.8
13108	-414.8
13135.2	-408.7
13162.5	-408.5
13189.8	-411.8
13217.3	-412.8
13244.9	-419
13272.6	-417.5
13300.3	-414
13328	-416.6
13355.9	-410.8
13383.8	-403.4
13411.8	-413.7
13439.8	-410.2
13468	-415.9
13496.3	-416.8
13524.6	-417.3
13552.9	-417.1
13581.1	-411.9
13609.2	-415.5
13637.3	-413.4
13665.1	-405
13692.9	-417.2
13720.5	-405.5
13747.9	-414.3
13775.2	-414.8
13802.3	-412
13829.2	-407.5
13856	
13882.7	-402.3
13909.2	-405.9
13935.7	-410.4
13962	-410.8
13988.2	-413.4
14014.1	-406
14040	-402.6
14065.6	-404.3
14091.1	-406.9
14116.4	-411.2
14141.7	-392.2
14167	-397.7
14192.5	-399.1
14218.1	-402.3
14244.2	-401.1
14270.3	-403.9
14297.2	-401.2
14324.2	-418.2
14351.7	-408.8
14379.6	-402.3
14407.8	-411.1
14436.5	-411.1
14465.5	-407.3
14494.8	-413.6
14524.3	-411.2
14553.9	-418.6
14583.6	-415.7
14613.3	-411.3
14643	-416.2
14672.5	-412.6
14702	-407.6
14731.4	-410.1
14760.8	-411.6
14790.2	-407.5
14819.6	-409.9
14849	-411.3
14878.6	-419
14908.2	-399.4
