# Baffin Island 500 Year Summer Temperature Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:5465
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/paleolimnology/northamerica/canada/baffin/soper_2000.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2003-10
#--------------------
# Title
#	Study_Name: Baffin Island 500 Year Summer Temperature Reconstruction
#--------------------
# Investigators
#       Investigators: Hughen, K.A.; Overpeck, J.T.; Anderson, R.F. 
#--------------------
# Description_and_Notes
#	Description: Summer temperature reconstruction based on laminae thickness in sediments from Upper Soper Lake, Baffin Island, Canada.   62�55'N 69�53'W
#--------------------
# Publication 
#       Authors: Hughen, K.A.; Overpeck, J.T.; Anderson, R.F. 
#       Published_Date_or_Year: 2000
#       Published_Title: Recent Warming in a 500-Year Paleotemperature Record from Varved Sediments: Upper Soper Lake, Baffin Island, Canada.
#       Journal_Name: The Holocene
#       Volume: 10
#       Edition: 
#       Issue: 
#       Pages: 9-19
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Hughen, K.A., J.T. Overpeck, R.F. Anderson. 2000. Recent Warming in a 500-Year Paleotemperature Record from Varved Sediments: Upper Soper Lake, Baffin Island, Canada. The Holocene Vol. 10, no. 1, pp. 9-19
#       Abstract: Laminated sediments from Upper Soper Lake on southern Baffin Island provide a new 500-year record of temperature change in the Arctic. Radiometric dating, using 210 Pb and Pu, shows that the light- and dark-coloured laminae couplets are annually deposited varves. Dark laminae thickness is strongly correlated to average June temperature from Kimmirut (r = 0.82), reflecting the influence of temperature on snowmelt and fluxes of runoff and suspended sediment. This relationship allowed the construction of a palaeotemperature record that documents large-amplitude interannual to decadal variability superimposed on distinct century-scale trends, including 2°C average warming and maximum temperatures during the 1900s. Similar patterns of change are seen in individual and regionally averaged palaeotemperature records from around the circum-Arctic. Upper Soper Lake records temperatures, rates of change and variance during the twentieth century that are all anomalously high within the context of the last 500 years, and outside the observed range of natural variability. Comparisons of Upper Soper Lake and Arctic average palaeotemperature to proxy-records of hypothesized forcing mechanisms suggest that the recent warming trend is mostly due to anthropogenic emissions of atmospheric greenhouse gases. The magnitude of the warming and decade-scale variability throughout the records, however, indicate that natural forcing mechanisms such as changing solar irradiance and volcanic activity, as well as positive feedbacks within the Arctic environment, also play an important role. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Upper Soper Lake, Baffin Island, Canada
#       Location: North America>Canada
#	Country: Canada
#	Northernmost_Latitude: 62.9167 
# 	Southernmost_Latitude: 62.9167 
# 	Easternmost_Longitude: -69.8833 
# 	Westernmost_Longitude: -69.8833 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 00cana01a 
#	Earliest_Year: 514
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Lake Cores, , ,N
##varve	varve thickness, varve sediment, , , , Lake Cores, , ,N
##sst	varve thickness-based sea surface temperature reconstruction, , ,degrees C, , Lake Cores, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	varve	sst
1742	0.245217	3.495089
1741	0.224575	3.284261
1740	0.205525	3.071732
1739	0.205585	3.072432
1738	0.224775	3.286395
1737	0.186570	2.839736
1736	0.186625	2.840443
1735	0.167530	2.581648
1734	0.186730	2.841792
1733	0.167625	2.583007
1732	0.148510	2.292712
1731	0.206055	3.077907
1730	0.167765	2.585009
1729	0.167815	2.585723
1728	0.143875	2.216690
1727	0.187090	2.846410
1726	0.187145	2.847114
1725	0.163195	2.518791
1724	0.206450	3.082499
1723	0.144070	2.219937
1722	0.163325	2.520700
1721	0.235445	3.397590
1720	0.235505	3.398201
1719	0.259610	3.631844
1718	0.254865	3.587617
1717	0.234087	3.383718
1716	0.211693	3.142632
1715	0.327247	4.186972
1714	0.166877	2.572279
1713	0.179760	2.750584
1712	0.240810	3.451611
1711	0.244080	3.483949
1710	0.366210	4.456685
1709	0.221710	3.253477
1708	0.179983	2.753561
1707	0.199317	2.998190
1706	0.212230	3.148702
1705	0.205850	3.075520
1704	0.196250	2.961014
1703	0.135157	2.066814
1702	0.173813	2.669927
1701	0.119120	1.763989
1700	0.180337	2.758263
1699	0.157833	2.438696
1698	0.186867	2.843546
1697	0.264253	3.674348
1696	0.225633	3.295533
1695	0.245033	3.493295
1694	0.270893	3.733850
1693	0.229017	3.331218
1692	0.167770	2.585080
1691	0.206537	3.083505
1690	0.235637	3.399541
1689	0.248603	3.527975
1688	0.303557	4.006801
1687	0.242260	3.466004
1686	0.348927	4.340772
1685	0.433023	4.858488
1684	0.329687	4.204782
1683	0.261870	3.652626
1682	0.274863	3.768732
1681	0.194067	2.934191
1680	0.307337	4.036473
1679	0.323587	4.160005
1678	0.252447	3.564758
1677	0.229843	3.339857
1676	0.296275	3.948587
1675	0.359495	4.412314
1674	0.267245	3.701340
1673	0.646385	5.818979
1672	0.325695	4.175576
1671	0.209070	3.112734
1670	0.243157	3.474862
1669	0.402103	4.680867
1668	0.243260	3.475881
1667	0.257910	3.616092
1666	0.277430	3.791017
1665	0.228805	3.329001
1664	0.272680	3.749611
1663	0.214292	3.171879
1662	0.224075	3.278917
1661	0.248480	3.526785
1660	0.229040	3.331463
1659	0.185219	2.822305
1658	0.263260	3.665319
1657	0.234055	3.383393
1656	0.317010	4.110774
1655	0.258540	3.621942
1654	0.278105	3.796844
1653	0.348107	4.335131
1652	0.205003	3.065639
1651	0.211550	3.141008
1650	0.224613	3.284670
1649	0.315820	4.101756
1648	0.239355	3.437080
1647	0.263830	3.670504
1646	0.239450	3.438031
1645	0.298145	3.963672
1644	0.293310	3.924471
1643	0.322705	4.153464
1642	0.415680	4.760484
1641	0.357070	4.396085
1640	0.293540	3.926351
1639	0.264230	3.674137
1638	0.234910	3.392136
1637	0.264330	3.675044
1636	0.176250	2.703305
1635	0.181185	2.769515
1634	0.205705	3.073831
1633	0.264525	3.676812
1632	0.264570	3.677220
1631	0.294020	3.930268
1630	0.294070	3.930676
1629	0.235300	3.396113
1628	0.205930	3.076452
1627	0.274615	3.766565
1626	0.304095	4.011049
1625	0.264905	3.680254
1624	0.328735	4.197851
1623	0.235555	3.398710
1622	0.265050	3.681566
1621	0.265095	3.681973
1620	0.270050	3.726374
1619	0.235720	3.400389
1618	0.294700	3.935807
1617	0.412650	4.742943
1616	0.211275	3.137889
1615	0.324335	4.165544
1614	0.265410	3.684820
1613	0.235960	3.402829
1612	0.354010	4.375450
1611	0.540930	5.391952
1610	0.506590	5.234698
1609	0.354185	4.376635
1608	0.305040	4.018489
1607	0.423195	4.803442
1606	0.383890	4.569730
1605	0.334730	4.241182
1604	0.295400	3.941495
1603	0.472710	5.068735
1602	0.295500	3.942307
1601	0.295540	3.942631
1600	0.295590	3.943037
1599	0.354770	4.380592
1598	0.295690	3.943848
1597	0.295740	3.944253
1596	0.236630	3.409627
1595	0.355000	4.382146
1594	0.187390	2.850251
1593	0.355110	4.382888
1592	0.295970	3.946117
1591	0.296020	3.946522
1590	0.246720	3.509743
1589	0.355330	4.384373
1588	0.355390	4.384778
1587	0.177720	2.723219
1586	0.330815	4.212974
1585	0.177780	2.724029
1584	0.454395	4.973993
1583	0.311210	4.066501
1582	0.242090	3.464321
1581	0.266830	3.697614
1580	0.271820	3.742037
1579	0.212545	3.152258
1578	0.212575	3.152597
1577	0.207665	3.096568
1576	0.207690	3.096856
1575	0.267075	3.699814
1574	0.242385	3.467241
1573	0.331470	4.217716
1572	0.272145	3.744902
1571	0.207850	3.098703
1570	0.207880	3.099049
1569	0.207910	3.099395
1568	0.267355	3.702326
1567	0.207970	3.100086
1566	0.183240	2.796556
1565	0.212985	3.157216
1564	0.326960	4.184870
1563	0.331960	4.221258
1562	0.237850	3.421957
1561	0.272580	3.748732
1560	0.307320	4.036343
1559	0.213170	3.159298
1558	0.307405	4.037006
1557	0.332245	4.223316
1556	0.272775	3.750446
1555	0.302580	3.999075
1554	0.451450	4.958404
1553	0.332430	4.224650
1552	0.238190	3.425382
1551	0.208450	3.105614
1550	0.302785	4.000698
1549	0.278005	3.795981
1548	0.297905	3.961741
1547	0.268155	3.709490
1546	0.208590	3.107224
1545	0.243390	3.477161
1544	0.298070	3.963069
1543	0.208680	3.108258
1542	0.178890	2.738952
1541	0.213700	3.165252
1540	0.243555	3.478786
1539	0.243585	3.479082
1538	0.333115	4.229586
1537	0.238680	3.430309
1536	0.273525	3.757029
1535	0.154190	2.382702
1534	0.273600	3.757687
1533	0.238810	3.431614
1532	0.154250	2.383635
1531	0.213985	3.168447
1530	0.238905	3.432568
1529	0.238930	3.432819
1528	0.273815	3.759570
1527	0.273845	3.759833
1526	0.273885	3.760183
1525	0.328705	4.197633
1524	0.298865	3.969455
1523	0.278970	3.804289
1522	0.333815	4.234619
1521	0.274060	3.761714
1520	0.214295	3.171918
1519	0.259180	3.627870
1518	0.284135	3.848274
1517	0.239300	3.436529
1516	0.189470	2.876718
1515	0.179520	2.747381
1514	0.239400	3.437531
