# Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:13121
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/domefuji/df2012isotope-temperature.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 
# --------------------
# Title 
#	Study_Name: Dome Fuji 360KYr Stable Isotope Data and Temperature Reconstruction
# --------------------
# Investigators
#	Investigators: Uemura, R.; Mason-Delmotte, V.; Jouzel, J.; Landais, A.; Motoyama, H.; Stenni, B. 
# --------------------
# Description_and_Notes
# 	Description: Stable isotope data (d18O and dD) and temperature reconstruction 
#	from Dome Fuji ice cores, Antarctica for the past 360,000 years. 
#	Data from core DF1 are deltaD (Uemura et al., 2004) and delta18O 
#	(Watanabe et al., 2003). The data-set is corrected and updated 
#	in Uemura et al. (2012). Data from core DF2 includes deltaD 
#	and delta18O (Uemura et al., 2012). Temperature estimates are 
#	based on combined isotope data from both cores (Uemura et al., 2012). 
#
#	The age scale adopted here is the Dome Fuji Ice Core O2/N2 timescale 
#	(DFO-2006) (Kawamura et al., 2007). 
#
#	Dome Fuji Station Core Site, East Antarctica: 
#	77°19'N, 39°42'E, 3810m elevation  
#
# --------------------
# Publication
#	Authors: R. Uemura, V. Mason-Delmotte, J. Jouzel, A. Landais, H. Motoyama, B. Stenni
#	Published_Date_or_Year: 2012
#	Published_Title: Ranges of moisture-source temperature estimated from Antarctic ice cores stable isotope records over glacial-interglacial cycles
#	Journal_Name: Climate of the Past
#	Volume: 8
#	Edition: 	
#	Issue: 3
#	Pages: 1109-1125
#	DOI: 10.5194/cp-8-1109-2012 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A single isotope ratio (dD or d18O) of water is widely used as an 
air-temperature proxy in Antarctic ice core records. These isotope 
ratios, however, do not solely depend on air-temperature but also 
on the extent of distillation of heavy isotopes out of atmospheric 
water vapor from an oceanic moisture source to a precipitation site. 
The temperature changes at the oceanic moisture source (DeltaTsource) 
and at the precipitation site (DeltaTsite) can be retrieved by using 
deuterium-excess (d) data. A new d record from Dome Fuji, Antarctica 
spanning the past 360 000 yr is presented and compared with records 
from Vostok and EPICA Dome C ice cores. In previous studies, to retrieve 
DeltaTsource and DeltaTsite information, different linear regression 
equations were proposed using theoretical isotope distillation models. 
A major source of uncertainty lies in the coefficient of regression, 
Bsite which is related to the sensitivity of d to DeltaTsite. We show 
that different ranges of temperature and selections of isotopic 
model outputs may increase the value of Bsite by more than 
a factor of two. To explore the impacts of this coefficient on 
reconstructed temperatures, we apply for the first time the exact 
same methodology to the isotope records from the three 
Antarctica ice cores. We show that uncertainties in the Bsite 
coefficient strongly affect (i) the glacial-interglacial magnitude 
of DeltaTsource; (ii) the imprint of obliquity in DeltaTsource 
and in the site-source temperature gradient. By contrast, we 
highlight the robustness of DeltaTsite reconstruction using water 
isotopes records. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: JSPS Postdoctoral Fellowships for Resarch Abroad
#	Grant:
#	Funding_Agency_Name: Grant-in-Aid for scientific research
#	Grant: 2122102
# --------------------
# Site_Information
#	Site_Name: Dome Fuji
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -74.65 
#	Southernmost_Latitude: -74.65
#	Easternmost_Longitude: 124.17
#	Westernmost_Longitude: 124.17
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 12Fuji02
#	Earliest_Year: 360.9
#	Most_Recent_Year: 0.03
#	Time Unit: kyb 2k
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##kyb_2k	Age,,,kilo years before 2k,,,,,N
##delD	delD,,,per mil SMOW,,ice cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
kyb_2k	delD
89.57	-447.93
89.88	-459.54
90.2	-451.15
90.51	-456.75
90.81	-449.22
91.41	-453.49
91.71	-452.95
92.01	-456.04
92.31	-443.65
92.9	-452.79
93.2	-452.29
93.5	-442.94
93.8	-446.67
94.1	-446.01
94.35	-437.31
94.57	-451.85
94.78	-450.7
94.99	-446.58
95.2	-450.01
95.41	-448.18
95.63	-452.94
95.84	-447.64
96.05	-448.99
96.25	-442.73
96.47	-443.38
96.68	-448.55
96.9	-448.52
97.11	-442.53
97.32	-440.24
97.52	-444.55
97.73	-437.33
97.94	-448.64
98.16	-437.09
98.37	-446.95
98.58	-444.17
98.79	-439.18
99.01	-445.71
99.22	-446.52
99.43	-443.03
99.64	-440.02
99.85	-443.69
100.06	-441.45
100.26	-434.51
100.46	-433.78
100.66	-441.9
100.86	-437.37
101.06	-440.21
101.26	-441.07
101.46	-433.23
101.66	-439.15
101.87	-443.09
102.08	-435.33
102.28	-441.19
102.48	-440.17
102.69	-442.51
102.89	-441.44
103.01	-438.24
103.3	-437.56
103.5	-437.22
103.69	-435.47
103.89	-439.69
104.09	-434.55
104.3	-435.93
104.5	-445.03
104.71	-440.69
104.93	-441.86
105.14	-445.3
105.37	-442.54
105.61	-452.19
105.85	-449.17
106.09	-448.29
106.33	-445.51
106.6	-443.1
106.87	-443.89
107.15	-436.73
107.41	-439.61
107.67	-447.53
107.94	-441.86
108.21	-445.97
108.48	-443.99
108.75	-434.93
109.01	-441.45
109.27	-442.87
109.55	-445.71
109.84	-443.49
110.13	-446.18
110.43	-456.59
110.74	-447.69
111.05	-454.06
111.39	-457.22
111.73	-459.14
112.07	-457.19
112.42	-459.72
112.77	-454.32
113.1	-454.43
113.43	-452.7
113.77	-452.66
114.1	-453.76
114.44	-452.1
114.78	-445.3
115.11	-454.35
115.45	-452.82
115.79	-454.05
116.12	-449.79
116.39	-451.25
116.79	-449.76
117.12	-444.9
117.43	-447.2
117.74	-450.19
118.04	-447.63
118.35	-448.93
118.65	-444.19
118.94	-441.3
119.22	-441.85
119.5	-439.65
119.79	-438.15
120.07	-437.63
120.34	-438.42
120.61	-435.97
120.88	-431.02
121.14	-430.64
121.4	-429.06
121.66	-437.16
121.91	-433.21
122.16	-422.76
122.4	-426.91
122.65	-425.25
122.9	-426.77
123.14	-428.03
123.38	-427.41
123.61	-423.73
123.85	-423.3
124.08	-423.24
124.3	-419.56
124.53	-421.11
124.75	-417.29
124.96	-417.31
125.18	-422.74
125.4	-414.94
125.62	-420.24
125.84	-412.6
126.05	-413.56
126.28	-422.66
126.5	-419.16
126.69	-410.52
126.89	-416.79
127.09	-415.36
127.28	-413.13
127.48	-418.91
127.67	-415.27
127.86	-413.78
128.05	-416.43
128.25	-411.04
128.44	-415.02
128.64	-419.36
128.84	-414.17
129.03	-417.99
129.23	-418.25
129.43	-411.9
129.61	-403.8
129.79	-406.82
129.97	-405.7
130.14	-401.87
130.31	-399.42
130.38	-404.9
130.64	-398.73
130.81	-401.18
130.97	-403.01
131.14	-399.15
131.31	-403.22
131.48	-397.25
131.65	-400.62
131.82	-404.89
131.99	-400.24
132.16	-400.33
132.34	-407.19
132.53	-411.72
132.73	-416.22
132.89	-416.76
133.1	-420.64
133.32	-424.76
133.59	-428.53
133.79	-424.25
134.08	-430.47
134.41	-432.2
134.63	-442.8
134.74	-436.03
134.92	-441.44
135.03	-440.92
135.21	-444.26
135.33	-438.71
135.5	-441.75
135.63	-451.38
135.97	-456.42
136.19	-451.47
136.33	-450.98
136.55	-457.02
136.7	-455.06
136.93	-460.81
137.09	-457.46
137.32	-457.92
137.47	-453.8
137.72	-455.86
137.88	-452.03
138.12	-461.48
138.29	-461.11
138.53	-457.45
138.7	-462.25
138.94	-461.6
139.11	-458.48
139.36	-464.7
139.53	-462.71
139.79	-459.98
139.97	-461.14
140.23	-466.02
140.4	-466.07
140.66	-464.12
140.84	-464.08
141.09	-464.7
141.26	-461.79
141.53	-462.48
141.71	-463.12
141.97	-458.69
142.15	-460.44
142.42	-463.78
142.6	-460.13
142.86	-459.6
143.04	-461.11
143.3	-465.87
143.47	-454.71
143.73	-463.36
143.9	-463.57
144.15	-457.42
144.32	-459.61
144.57	-457.85
144.74	-461.42
145	-457.91
145.16	-460.77
145.42	-464.03
145.68	-454.85
145.85	-458.46
146.02	-456.72
146.28	-462.62
146.45	-459.43
146.71	-461.34
