# Big Round Lake, Baffin Island Varve Thickness Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:6203
#
# Original_Source_URL: ftp:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Lake Cores
#--------------------
# Contribution_Date
#	Date: 2008-11
#--------------------
# Title
#	Study_Name: Big Round Lake, Baffin Island Varve Thickness Data
#--------------------
# Investigators
#       Investigators: Thomas, E.K.; Briner, J.P. 
#--------------------
# Description_and_Notes
#	Description: Varve thickness and varve-inferred July-August September temperature  from Big Round Lake, Baffin Island, Nunavut, Canada:  69�52'N, 68�50'W, 180m elev. 
#--------------------
# Publication 
#       Authors: Thomas, E.K.; Briner, J.P. 
#       Published_Date_or_Year: 2009
#       Published_Title: Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. 
#       Journal_Name: Journal of Paleolimnology
#       Volume: 41
#       Edition: 1
#       Issue: 
#       Pages: 209-224
#       DOI: 10.1007/s10933-008-9258-7
#       Online_Resource: 
#       Full_Citation: Thomas, E.K. and J.P. Briner. 2009. Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. Journal of Paleolimnology, 41(1), 209-224. doi: 10.1007/s10933-008-9258-7
#       Abstract: This study uses 239+240Pu-dated varved sediments from Big Round Lake, a proglacial lake on northeast Baffin Island, Arctic Canada to generate a 1000-year-long, annual-resolution record of past climate. Varve thickness is positively correlated with July-August-September temperature measured at Clyde River, 70 km to the north of the lake (r = 0.46, p<0.001). We therefore interpret the variability and trends in varve thickness to partially represent summer temperature. The coolest Little Ice Age temperatures occurred in this record from 1575 to 1760 AD and were approximately 1.5C cooler than today (average from 1995 to 2005 AD) and 0.2C cooler than the last millennium (average from 1000 to 2000 AD). Pre-twentieth-century warmth occurred during two intervals, 970-1150 AD and 1375-1575 AD; temperatures were approximately 1.2C cooler than today, but 0.1C warmer than the last millennium. The Big Round Lake varve-thickness record contains features similar to that reconstructed elsewhere in the eastern Canadian Arctic. This high-resolution quantitative record expands our understanding of arctic climate during the past millennium.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation
#       Grant: Graduate Research Fellowship
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Geological Society of America
#       Grant: student research grant
#------------------
# Site_Information 
#       Site_Name: Big Round Lake, Baffin Island, Canada
#       Location: North America>Canada
#	Country: Canada  
#	Northernmost_Latitude: 69.866 
# 	Southernmost_Latitude: 69.866 
# 	Easternmost_Longitude: -68.833 
# 	Westernmost_Longitude: -68.833 
# 	Elevation: 180 m  
#------------------
# Data_Collection   
#	Collection_Name: 09cana01a 
#	Earliest_Year: 971
#	Most_Recent_Year: 2003
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"PAGES1"} 
#------------------
# Species
#	Species_Name:  
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Lake Cores, , ,N
##varve	varve thickness, varve sediment, , , , Lake Cores, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	varve
1473	0.468
1472	0.504
1471	0.887
1470	0.656
1469	0.659
1468	0.57
1467	0.656
1466	0.176
1465	1.149
1464	0.438
1463	0.279
1462	0.325
1461	0.234
1460	0.898
1459	0.393
1458	0.394
1457	0.884
1456	0.226
1455	0.808
1454	0.445
1453	0.151
1452	0.272
1451	0.287
1450	1.2
1449	1.999
1448	0.08
1447	1.132
1446	0.438
1445	0.896
1444	0.332
1443	0.439
1442	2.236
1441	0.428
1440	0.493
1439	0.222
1438	0.194
1437	1.031
1436	0.305
1435	1.129
1434	1.512
1433	0.864
1432	1.282
1431	0.618
1430	0.762
1429	2.016
1428	1.174
1427	0.711
1426	1.236
1425	0.464
1424	0.846
1423	0.212
1422	1.008
1421	0.425
1420	0.172
1419	0.437
1418	0.197
1417	0.076
1416	0.113
1415	1.323
1414	0.311
1413	0.379
1412	0.629
1411	0.448
1410	0.332
1409	0.192
1408	0.427
1407	0.243
1406	0.258
1405	0.303
1404	2.42
1403	0.282
1402	0.477
1401	0.526
1400	1.309
1399	0.295
1398	0.897
1397	1.338
1396	0.967
1395	0.815
1394	0.6
1393	0.161
1392	0.684
1391	0.159
1390	0.664
1389	0.454
1388	0.097
1387	0.097
1386	0.078
1385	0.223
1384	0.098
1383	0.199
1382	0.199
1381	0.112
1380	0.789
1379	0.514
1378	0.133
1377	0.142
1376	0.24
1375	0.314
1374	0.635
1373	0.282
1372	0.328
1371	0.237
1370	0.493
1369	0.387
1368	0.144
1367	0.174
1366	0.765
1365	0.247
1364	0.359
1363	0.371
1362	0.167
1361	0.433
1360	0.906
1359	0.418
1358	0.322
1357	0.136
1356	0.503
1355	0.096
1354	0.121
1353	0.226
1352	0.111
1351	0.428
1350	0.332
1349	0.332
1348	0.222
1347	0.458
1346	0.252
1345	0.412
1344	0.936
1343	0.352
1342	0.297
1341	0.161
1340	0.156
1339	0.372
1338	0.252
1337	0.443
1336	0.519
1335	0.332
1334	1.137
1333	1.077
1332	0.765
1331	0.247
1330	1.384
1329	0.423
1328	0.649
1327	0.081
1326	0.518
1325	0.468
1324	0.282
1323	0.211
1322	0.413
1321	0.111
1320	0.111
1319	1.213
1318	0.85
1317	0.483
1316	1.006
1315	0.166
1314	0.674
1313	0.196
1312	0.302
1311	0.528
1310	0.498
1309	0.438
1308	0.362
1307	0.312
1306	0.382
1305	0.367
1304	0.87
1303	0.247
1302	0.161
1301	0.403
1300	0.307
1299	0.282
1298	0.689
1297	0.352
1296	0.186
1295	0.131
1294	0.362
1293	0.709
1292	0.961
1291	0.106
1290	0.221
1289	0.443
1288	1.887
1287	0.52
1286	0.374
1285	0.715
1284	0.347
1283	0.267
1282	0.121
1281	0.292
1280	1.072
1279	0.317
1278	0.207
1277	0.79
1276	0.237
1275	0.171
1274	0.181
1273	0.403
1272	0.081
1271	0.499
1270	0.156
1269	0.448
1268	0.362
1267	0.081
1266	0.257
1265	0.121
1264	0.919
1263	0.302
1262	0.168
1261	0.37
1260	0.151
1259	0.534
1258	0.847
1257	0.701
1256	0.102
1255	0.571
1254	0.747
1253	0.278
1252	0.243
1251	0.272
1250	0.237
1249	0.684
1248	0.136
1247	0.502
1246	0.287
1245	0.574
1244	0.358
1243	0.443
1242	0.664
1241	0.272
1240	0.725
1239	0.279
1238	0.318
1237	1.328
1236	0.349
1235	0.144
1234	0.321
1233	0.123
1232	0.586
1231	0.19
1230	1.063
1229	0.738
1228	0.312
1227	0.663
1226	0.129
1225	0.13
1224	0.259
1223	0.224
1222	0.161
1221	0.441
1220	0.261
1219	0.207
1218	0.191
1217	0.372
1216	0.577
1215	1.049
1214	0.408
1213	0.597
1212	0.17
1211	0.284
1210	0.178
1209	0.319
1208	0.351
1207	0.628
